Report Date,14-Day Period,FIPS,Locality,PCR Testing Encounters,Positive PCR Testing Encounters,PCR Percent Positivity
2020-10-05,"September 5, 2020 to September 18, 2020",51001,Accomack,767,18,0.0235
2020-10-05,"September 5, 2020 to September 18, 2020",51003,Albemarle,3630,173,0.0477
2020-10-05,"September 5, 2020 to September 18, 2020",51005,Alleghany,347,13,0.0375
2020-10-05,"September 5, 2020 to September 18, 2020",51007,Amelia,298,15,0.0503
2020-10-05,"September 5, 2020 to September 18, 2020",51009,Amherst,912,54,0.0592
2020-10-05,"September 5, 2020 to September 18, 2020",51011,Appomattox,505,37,0.0733
2020-10-05,"September 5, 2020 to September 18, 2020",51013,Arlington,6070,222,0.0366
2020-10-05,"September 5, 2020 to September 18, 2020",51015,Augusta,609,52,0.0854
2020-10-05,"September 5, 2020 to September 18, 2020",51017,Bath,19,1,0.0526
2020-10-05,"September 5, 2020 to September 18, 2020",51019,Bedford,1624,99,0.061
2020-10-05,"September 5, 2020 to September 18, 2020",51021,Bland,153,4,0.0261
2020-10-05,"September 5, 2020 to September 18, 2020",51023,Botetourt,256,26,0.1016
2020-10-05,"September 5, 2020 to September 18, 2020",51025,Brunswick,892,41,0.046
2020-10-05,"September 5, 2020 to September 18, 2020",51027,Buchanan,96,11,0.1146
2020-10-05,"September 5, 2020 to September 18, 2020",51029,Buckingham,204,14,0.0686
2020-10-05,"September 5, 2020 to September 18, 2020",51031,Campbell,1079,52,0.0482
2020-10-05,"September 5, 2020 to September 18, 2020",51033,Caroline,564,53,0.094
2020-10-05,"September 5, 2020 to September 18, 2020",51035,Carroll,310,36,0.1161
2020-10-05,"September 5, 2020 to September 18, 2020",51036,Charles City,135,10,0.0741
2020-10-05,"September 5, 2020 to September 18, 2020",51037,Charlotte,314,21,0.0669
2020-10-05,"September 5, 2020 to September 18, 2020",51041,Chesterfield,8735,487,0.0558
2020-10-05,"September 5, 2020 to September 18, 2020",51043,Clarke,236,11,0.0466
2020-10-05,"September 5, 2020 to September 18, 2020",51045,Craig,46,5,0.1087
2020-10-05,"September 5, 2020 to September 18, 2020",51047,Culpeper,845,41,0.0485
2020-10-05,"September 5, 2020 to September 18, 2020",51049,Cumberland,97,3,0.0309
2020-10-05,"September 5, 2020 to September 18, 2020",51051,Dickenson,147,7,0.0476
2020-10-05,"September 5, 2020 to September 18, 2020",51053,Dinwiddie,269,18,0.0669
2020-10-05,"September 5, 2020 to September 18, 2020",51057,Essex,403,28,0.0695
2020-10-05,"September 5, 2020 to September 18, 2020",51059,Fairfax,23565,1358,0.0576
2020-10-05,"September 5, 2020 to September 18, 2020",51061,Fauquier,989,43,0.0435
2020-10-05,"September 5, 2020 to September 18, 2020",51063,Floyd,247,15,0.0607
2020-10-05,"September 5, 2020 to September 18, 2020",51065,Fluvanna,1467,120,0.0818
2020-10-05,"September 5, 2020 to September 18, 2020",51067,Franklin County,451,50,0.1109
2020-10-05,"September 5, 2020 to September 18, 2020",51069,Frederick,821,40,0.0487
2020-10-05,"September 5, 2020 to September 18, 2020",51071,Giles,346,21,0.0607
2020-10-05,"September 5, 2020 to September 18, 2020",51073,Gloucester,603,17,0.0282
2020-10-05,"September 5, 2020 to September 18, 2020",51075,Goochland,449,22,0.049
2020-10-05,"September 5, 2020 to September 18, 2020",51077,Grayson,369,43,0.1165
2020-10-05,"September 5, 2020 to September 18, 2020",51079,Greene,436,12,0.0275
2020-10-05,"September 5, 2020 to September 18, 2020",51081,Greensville,317,43,0.1356
2020-10-05,"September 5, 2020 to September 18, 2020",51083,Halifax,1257,67,0.0533
2020-10-05,"September 5, 2020 to September 18, 2020",51085,Hanover,3143,359,0.1142
2020-10-05,"September 5, 2020 to September 18, 2020",51087,Henrico,11347,570,0.0502
2020-10-05,"September 5, 2020 to September 18, 2020",51089,Henry,1163,144,0.1238
2020-10-05,"September 5, 2020 to September 18, 2020",51091,Highland,7,0,0
2020-10-05,"September 5, 2020 to September 18, 2020",51093,Isle of Wight,1259,111,0.0882
2020-10-05,"September 5, 2020 to September 18, 2020",51095,James City,1672,72,0.0431
2020-10-05,"September 5, 2020 to September 18, 2020",51097,King and Queen,171,18,0.1053
2020-10-05,"September 5, 2020 to September 18, 2020",51099,King George,382,9,0.0236
2020-10-05,"September 5, 2020 to September 18, 2020",51101,King William,412,32,0.0777
2020-10-05,"September 5, 2020 to September 18, 2020",51103,Lancaster,586,63,0.1075
2020-10-05,"September 5, 2020 to September 18, 2020",51105,Lee,665,18,0.0271
2020-10-05,"September 5, 2020 to September 18, 2020",51107,Loudoun,7598,579,0.0762
2020-10-05,"September 5, 2020 to September 18, 2020",51109,Louisa,759,29,0.0382
2020-10-05,"September 5, 2020 to September 18, 2020",51111,Lunenburg,258,10,0.0388
2020-10-05,"September 5, 2020 to September 18, 2020",51113,Madison,397,10,0.0252
2020-10-05,"September 5, 2020 to September 18, 2020",51115,Mathews,150,7,0.0467
2020-10-05,"September 5, 2020 to September 18, 2020",51117,Mecklenburg,1581,73,0.0462
2020-10-05,"September 5, 2020 to September 18, 2020",51119,Middlesex,351,11,0.0313
2020-10-05,"September 5, 2020 to September 18, 2020",51121,Montgomery,4743,526,0.1109
2020-10-05,"September 5, 2020 to September 18, 2020",51125,Nelson,319,13,0.0408
2020-10-05,"September 5, 2020 to September 18, 2020",51127,New Kent,515,28,0.0544
2020-10-05,"September 5, 2020 to September 18, 2020",51131,Northampton,267,0,0
2020-10-05,"September 5, 2020 to September 18, 2020",51133,Northumberland,419,44,0.105
2020-10-05,"September 5, 2020 to September 18, 2020",51135,Nottoway,434,45,0.1037
2020-10-05,"September 5, 2020 to September 18, 2020",51137,Orange,1102,41,0.0372
2020-10-05,"September 5, 2020 to September 18, 2020",51139,Page,374,12,0.0321
2020-10-05,"September 5, 2020 to September 18, 2020",51141,Patrick,205,18,0.0878
2020-10-05,"September 5, 2020 to September 18, 2020",51143,Pittsylvania,984,66,0.0671
2020-10-05,"September 5, 2020 to September 18, 2020",51145,Powhatan,452,14,0.031
2020-10-05,"September 5, 2020 to September 18, 2020",51147,Prince Edward,652,33,0.0506
2020-10-05,"September 5, 2020 to September 18, 2020",51149,Prince George,396,36,0.0909
2020-10-05,"September 5, 2020 to September 18, 2020",51153,Prince William,9993,818,0.0819
2020-10-05,"September 5, 2020 to September 18, 2020",51155,Pulaski,632,37,0.0585
2020-10-05,"September 5, 2020 to September 18, 2020",51157,Rappahannock,63,1,0.0159
2020-10-05,"September 5, 2020 to September 18, 2020",51159,Richmond County,304,11,0.0362
2020-10-05,"September 5, 2020 to September 18, 2020",51161,Roanoke County,1121,95,0.0847
2020-10-05,"September 5, 2020 to September 18, 2020",51163,Rockbridge,784,23,0.0293
2020-10-05,"September 5, 2020 to September 18, 2020",51165,Rockingham,1602,150,0.0936
2020-10-05,"September 5, 2020 to September 18, 2020",51167,Russell,273,24,0.0879
2020-10-05,"September 5, 2020 to September 18, 2020",51169,Scott,284,15,0.0528
2020-10-05,"September 5, 2020 to September 18, 2020",51171,Shenandoah,896,21,0.0234
2020-10-05,"September 5, 2020 to September 18, 2020",51173,Smyth,1244,88,0.0707
2020-10-05,"September 5, 2020 to September 18, 2020",51175,Southampton,481,105,0.2183
2020-10-05,"September 5, 2020 to September 18, 2020",51177,Spotsylvania,1700,120,0.0706
2020-10-05,"September 5, 2020 to September 18, 2020",51179,Stafford,2327,158,0.0679
2020-10-05,"September 5, 2020 to September 18, 2020",51181,Surry,183,18,0.0984
2020-10-05,"September 5, 2020 to September 18, 2020",51183,Sussex,271,103,0.3801
2020-10-05,"September 5, 2020 to September 18, 2020",51185,Tazewell,478,33,0.069
2020-10-05,"September 5, 2020 to September 18, 2020",51187,Warren,955,16,0.0168
2020-10-05,"September 5, 2020 to September 18, 2020",51191,Washington,1024,68,0.0664
2020-10-05,"September 5, 2020 to September 18, 2020",51193,Westmoreland,276,21,0.0761
2020-10-05,"September 5, 2020 to September 18, 2020",51195,Wise,379,32,0.0844
2020-10-05,"September 5, 2020 to September 18, 2020",51197,Wythe,529,25,0.0473
2020-10-05,"September 5, 2020 to September 18, 2020",51199,York,772,45,0.0583
2020-10-05,"September 5, 2020 to September 18, 2020",51510,Alexandria,3935,211,0.0536
2020-10-05,"September 5, 2020 to September 18, 2020",51520,Bristol,334,28,0.0838
2020-10-05,"September 5, 2020 to September 18, 2020",51530,Buena Vista City,44,1,0.0227
2020-10-05,"September 5, 2020 to September 18, 2020",51540,Charlottesville,2757,134,0.0486
2020-10-05,"September 5, 2020 to September 18, 2020",51550,Chesapeake,6016,288,0.0479
2020-10-05,"September 5, 2020 to September 18, 2020",51570,Colonial Heights,444,27,0.0608
2020-10-05,"September 5, 2020 to September 18, 2020",51580,Covington,347,13,0.0375
2020-10-05,"September 5, 2020 to September 18, 2020",51590,Danville,2668,183,0.0686
2020-10-05,"September 5, 2020 to September 18, 2020",51595,Emporia,317,43,0.1356
2020-10-05,"September 5, 2020 to September 18, 2020",51600,Fairfax City,3,0,0
2020-10-05,"September 5, 2020 to September 18, 2020",51610,Falls Church,344,16,0.0465
2020-10-05,"September 5, 2020 to September 18, 2020",51620,Franklin City,815,68,0.0834
2020-10-05,"September 5, 2020 to September 18, 2020",51630,Fredericksburg,533,31,0.0582
2020-10-05,"September 5, 2020 to September 18, 2020",51640,Galax,165,13,0.0788
2020-10-05,"September 5, 2020 to September 18, 2020",51650,Hampton,2197,127,0.0578
2020-10-05,"September 5, 2020 to September 18, 2020",51660,Harrisonburg,1764,294,0.1667
2020-10-05,"September 5, 2020 to September 18, 2020",51670,Hopewell,1120,129,0.1152
2020-10-05,"September 5, 2020 to September 18, 2020",51678,Lexington,784,23,0.0293
2020-10-05,"September 5, 2020 to September 18, 2020",51680,Lynchburg,3120,222,0.0712
2020-10-05,"September 5, 2020 to September 18, 2020",51683,Manassas City,848,97,0.1144
2020-10-05,"September 5, 2020 to September 18, 2020",51685,Manassas Park,848,97,0.1144
2020-10-05,"September 5, 2020 to September 18, 2020",51690,Martinsville,13,2,0.1538
2020-10-05,"September 5, 2020 to September 18, 2020",51700,Newport News,4617,199,0.0431
2020-10-05,"September 5, 2020 to September 18, 2020",51710,Norfolk,6076,293,0.0482
2020-10-05,"September 5, 2020 to September 18, 2020",51720,Norton,101,5,0.0495
2020-10-05,"September 5, 2020 to September 18, 2020",51730,Petersburg,1728,103,0.0596
2020-10-05,"September 5, 2020 to September 18, 2020",51735,Poquoson,160,8,0.05
2020-10-05,"September 5, 2020 to September 18, 2020",51740,Portsmouth,2420,254,0.105
2020-10-05,"September 5, 2020 to September 18, 2020",51750,Radford,496,42,0.0847
2020-10-05,"September 5, 2020 to September 18, 2020",51760,Richmond City,6734,286,0.0425
2020-10-05,"September 5, 2020 to September 18, 2020",51770,Roanoke City,8992,547,0.0608
2020-10-05,"September 5, 2020 to September 18, 2020",51775,Salem,1192,68,0.057
2020-10-05,"September 5, 2020 to September 18, 2020",51790,Staunton,818,67,0.0819
2020-10-05,"September 5, 2020 to September 18, 2020",51800,Suffolk,2348,216,0.092
2020-10-05,"September 5, 2020 to September 18, 2020",51810,Virginia Beach,9141,459,0.0502
2020-10-05,"September 5, 2020 to September 18, 2020",51820,Waynesboro,399,26,0.0652
2020-10-05,"September 5, 2020 to September 18, 2020",51830,Williamsburg,14,0,0
2020-10-05,"September 5, 2020 to September 18, 2020",51840,Winchester,1954,90,0.0461
2020-10-05,"September 19, 2020 to October 2, 2020",51001,Accomack,633,10,0.0158
2020-10-05,"September 19, 2020 to October 2, 2020",51003,Albemarle,4076,197,0.0483
2020-10-05,"September 19, 2020 to October 2, 2020",51005,Alleghany,319,8,0.0251
2020-10-05,"September 19, 2020 to October 2, 2020",51007,Amelia,230,2,0.0087
2020-10-05,"September 19, 2020 to October 2, 2020",51009,Amherst,815,53,0.065
2020-10-05,"September 19, 2020 to October 2, 2020",51011,Appomattox,456,17,0.0373
2020-10-05,"September 19, 2020 to October 2, 2020",51013,Arlington,6414,186,0.029
2020-10-05,"September 19, 2020 to October 2, 2020",51015,Augusta,664,37,0.0557
2020-10-05,"September 19, 2020 to October 2, 2020",51017,Bath,62,4,0.0645
2020-10-05,"September 19, 2020 to October 2, 2020",51019,Bedford,1772,101,0.057
2020-10-05,"September 19, 2020 to October 2, 2020",51021,Bland,124,1,0.0081
2020-10-05,"September 19, 2020 to October 2, 2020",51023,Botetourt,511,17,0.0333
2020-10-05,"September 19, 2020 to October 2, 2020",51025,Brunswick,743,27,0.0363
2020-10-05,"September 19, 2020 to October 2, 2020",51027,Buchanan,119,18,0.1513
2020-10-05,"September 19, 2020 to October 2, 2020",51029,Buckingham,257,12,0.0467
2020-10-05,"September 19, 2020 to October 2, 2020",51031,Campbell,1032,53,0.0514
2020-10-05,"September 19, 2020 to October 2, 2020",51033,Caroline,656,36,0.0549
2020-10-05,"September 19, 2020 to October 2, 2020",51035,Carroll,435,23,0.0529
2020-10-05,"September 19, 2020 to October 2, 2020",51036,Charles City,92,0,0
2020-10-05,"September 19, 2020 to October 2, 2020",51037,Charlotte,439,45,0.1025
2020-10-05,"September 19, 2020 to October 2, 2020",51041,Chesterfield,8366,376,0.0449
2020-10-05,"September 19, 2020 to October 2, 2020",51043,Clarke,230,5,0.0217
2020-10-05,"September 19, 2020 to October 2, 2020",51045,Craig,74,3,0.0405
2020-10-05,"September 19, 2020 to October 2, 2020",51047,Culpeper,921,38,0.0413
2020-10-05,"September 19, 2020 to October 2, 2020",51049,Cumberland,123,4,0.0325
2020-10-05,"September 19, 2020 to October 2, 2020",51051,Dickenson,123,4,0.0325
2020-10-05,"September 19, 2020 to October 2, 2020",51053,Dinwiddie,314,17,0.0541
2020-10-05,"September 19, 2020 to October 2, 2020",51057,Essex,388,13,0.0335
2020-10-05,"September 19, 2020 to October 2, 2020",51059,Fairfax,26363,1086,0.0412
2020-10-05,"September 19, 2020 to October 2, 2020",51061,Fauquier,1155,25,0.0216
2020-10-05,"September 19, 2020 to October 2, 2020",51063,Floyd,358,16,0.0447
2020-10-05,"September 19, 2020 to October 2, 2020",51065,Fluvanna,538,20,0.0372
2020-10-05,"September 19, 2020 to October 2, 2020",51067,Franklin County,631,73,0.1157
2020-10-05,"September 19, 2020 to October 2, 2020",51069,Frederick,1662,36,0.0217
2020-10-05,"September 19, 2020 to October 2, 2020",51071,Giles,241,9,0.0373
2020-10-05,"September 19, 2020 to October 2, 2020",51073,Gloucester,658,24,0.0365
2020-10-05,"September 19, 2020 to October 2, 2020",51075,Goochland,367,21,0.0572
2020-10-05,"September 19, 2020 to October 2, 2020",51077,Grayson,300,22,0.0733
2020-10-05,"September 19, 2020 to October 2, 2020",51079,Greene,542,33,0.0609
2020-10-05,"September 19, 2020 to October 2, 2020",51081,Greensville,411,61,0.1484
2020-10-05,"September 19, 2020 to October 2, 2020",51083,Halifax,1383,47,0.034
2020-10-05,"September 19, 2020 to October 2, 2020",51085,Hanover,2792,140,0.0501
2020-10-05,"September 19, 2020 to October 2, 2020",51087,Henrico,11742,415,0.0353
2020-10-05,"September 19, 2020 to October 2, 2020",51089,Henry,1433,128,0.0893
2020-10-05,"September 19, 2020 to October 2, 2020",51091,Highland,23,0,0
2020-10-05,"September 19, 2020 to October 2, 2020",51093,Isle of Wight,1187,63,0.0531
2020-10-05,"September 19, 2020 to October 2, 2020",51095,James City,1869,36,0.0193
2020-10-05,"September 19, 2020 to October 2, 2020",51097,King and Queen,162,10,0.0617
2020-10-05,"September 19, 2020 to October 2, 2020",51099,King George,264,7,0.0265
2020-10-05,"September 19, 2020 to October 2, 2020",51101,King William,375,16,0.0427
2020-10-05,"September 19, 2020 to October 2, 2020",51103,Lancaster,846,35,0.0414
2020-10-05,"September 19, 2020 to October 2, 2020",51105,Lee,364,24,0.0659
2020-10-05,"September 19, 2020 to October 2, 2020",51107,Loudoun,7744,387,0.05
2020-10-05,"September 19, 2020 to October 2, 2020",51109,Louisa,780,38,0.0487
2020-10-05,"September 19, 2020 to October 2, 2020",51111,Lunenburg,278,7,0.0252
2020-10-05,"September 19, 2020 to October 2, 2020",51113,Madison,318,5,0.0157
2020-10-05,"September 19, 2020 to October 2, 2020",51115,Mathews,240,46,0.1917
2020-10-05,"September 19, 2020 to October 2, 2020",51117,Mecklenburg,2151,138,0.0642
2020-10-05,"September 19, 2020 to October 2, 2020",51119,Middlesex,270,13,0.0481
2020-10-05,"September 19, 2020 to October 2, 2020",51121,Montgomery,5354,338,0.0631
2020-10-05,"September 19, 2020 to October 2, 2020",51125,Nelson,317,16,0.0505
2020-10-05,"September 19, 2020 to October 2, 2020",51127,New Kent,523,32,0.0612
2020-10-05,"September 19, 2020 to October 2, 2020",51131,Northampton,255,4,0.0157
2020-10-05,"September 19, 2020 to October 2, 2020",51133,Northumberland,470,40,0.0851
2020-10-05,"September 19, 2020 to October 2, 2020",51135,Nottoway,500,25,0.05
2020-10-05,"September 19, 2020 to October 2, 2020",51137,Orange,961,29,0.0302
2020-10-05,"September 19, 2020 to October 2, 2020",51139,Page,417,22,0.0528
2020-10-05,"September 19, 2020 to October 2, 2020",51141,Patrick,222,15,0.0676
2020-10-05,"September 19, 2020 to October 2, 2020",51143,Pittsylvania,1141,76,0.0666
2020-10-05,"September 19, 2020 to October 2, 2020",51145,Powhatan,578,19,0.0329
2020-10-05,"September 19, 2020 to October 2, 2020",51147,Prince Edward,661,33,0.0499
2020-10-05,"September 19, 2020 to October 2, 2020",51149,Prince George,589,64,0.1087
2020-10-05,"September 19, 2020 to October 2, 2020",51153,Prince William,9553,584,0.0611
2020-10-05,"September 19, 2020 to October 2, 2020",51155,Pulaski,694,23,0.0331
2020-10-05,"September 19, 2020 to October 2, 2020",51157,Rappahannock,74,1,0.0135
2020-10-05,"September 19, 2020 to October 2, 2020",51159,Richmond County,269,6,0.0223
2020-10-05,"September 19, 2020 to October 2, 2020",51161,Roanoke County,1912,117,0.0612
2020-10-05,"September 19, 2020 to October 2, 2020",51163,Rockbridge,910,28,0.0308
2020-10-05,"September 19, 2020 to October 2, 2020",51165,Rockingham,1944,174,0.0895
2020-10-05,"September 19, 2020 to October 2, 2020",51167,Russell,375,22,0.0587
2020-10-05,"September 19, 2020 to October 2, 2020",51169,Scott,380,22,0.0579
2020-10-05,"September 19, 2020 to October 2, 2020",51171,Shenandoah,1293,22,0.017
2020-10-05,"September 19, 2020 to October 2, 2020",51173,Smyth,912,43,0.0471
2020-10-05,"September 19, 2020 to October 2, 2020",51175,Southampton,900,231,0.2567
2020-10-05,"September 19, 2020 to October 2, 2020",51177,Spotsylvania,1718,83,0.0483
2020-10-05,"September 19, 2020 to October 2, 2020",51179,Stafford,1940,100,0.0515
2020-10-05,"September 19, 2020 to October 2, 2020",51181,Surry,152,21,0.1382
2020-10-05,"September 19, 2020 to October 2, 2020",51183,Sussex,226,61,0.2699
2020-10-05,"September 19, 2020 to October 2, 2020",51185,Tazewell,552,21,0.038
2020-10-05,"September 19, 2020 to October 2, 2020",51187,Warren,890,25,0.0281
2020-10-05,"September 19, 2020 to October 2, 2020",51191,Washington,837,72,0.086
2020-10-05,"September 19, 2020 to October 2, 2020",51193,Westmoreland,440,21,0.0477
2020-10-05,"September 19, 2020 to October 2, 2020",51195,Wise,565,40,0.0708
2020-10-05,"September 19, 2020 to October 2, 2020",51197,Wythe,500,28,0.056
2020-10-05,"September 19, 2020 to October 2, 2020",51199,York,923,22,0.0238
2020-10-05,"September 19, 2020 to October 2, 2020",51510,Alexandria,4330,199,0.046
2020-10-05,"September 19, 2020 to October 2, 2020",51520,Bristol,263,12,0.0456
2020-10-05,"September 19, 2020 to October 2, 2020",51530,Buena Vista City,82,2,0.0244
2020-10-05,"September 19, 2020 to October 2, 2020",51540,Charlottesville,3037,141,0.0464
2020-10-05,"September 19, 2020 to October 2, 2020",51550,Chesapeake,4971,248,0.0499
2020-10-05,"September 19, 2020 to October 2, 2020",51570,Colonial Heights,548,28,0.0511
2020-10-05,"September 19, 2020 to October 2, 2020",51580,Covington,319,8,0.0251
2020-10-05,"September 19, 2020 to October 2, 2020",51590,Danville,2669,175,0.0656
2020-10-05,"September 19, 2020 to October 2, 2020",51595,Emporia,411,61,0.1484
2020-10-05,"September 19, 2020 to October 2, 2020",51600,Fairfax City,7,0,0
2020-10-05,"September 19, 2020 to October 2, 2020",51610,Falls Church,392,14,0.0357
2020-10-05,"September 19, 2020 to October 2, 2020",51620,Franklin City,781,57,0.073
2020-10-05,"September 19, 2020 to October 2, 2020",51630,Fredericksburg,474,13,0.0274
2020-10-05,"September 19, 2020 to October 2, 2020",51640,Galax,218,20,0.0917
2020-10-05,"September 19, 2020 to October 2, 2020",51650,Hampton,2169,89,0.041
2020-10-05,"September 19, 2020 to October 2, 2020",51660,Harrisonburg,1356,107,0.0789
2020-10-05,"September 19, 2020 to October 2, 2020",51670,Hopewell,1054,50,0.0474
2020-10-05,"September 19, 2020 to October 2, 2020",51678,Lexington,910,28,0.0308
2020-10-05,"September 19, 2020 to October 2, 2020",51680,Lynchburg,3676,226,0.0615
2020-10-05,"September 19, 2020 to October 2, 2020",51683,Manassas City,1046,83,0.0793
2020-10-05,"September 19, 2020 to October 2, 2020",51685,Manassas Park,1046,83,0.0793
2020-10-05,"September 19, 2020 to October 2, 2020",51690,Martinsville,12,0,0
2020-10-05,"September 19, 2020 to October 2, 2020",51700,Newport News,5022,139,0.0277
2020-10-05,"September 19, 2020 to October 2, 2020",51710,Norfolk,6036,265,0.0439
2020-10-05,"September 19, 2020 to October 2, 2020",51720,Norton,147,10,0.068
2020-10-05,"September 19, 2020 to October 2, 2020",51730,Petersburg,1925,117,0.0608
2020-10-05,"September 19, 2020 to October 2, 2020",51735,Poquoson,156,3,0.0192
2020-10-05,"September 19, 2020 to October 2, 2020",51740,Portsmouth,2343,113,0.0482
2020-10-05,"September 19, 2020 to October 2, 2020",51750,Radford,422,16,0.0379
2020-10-05,"September 19, 2020 to October 2, 2020",51760,Richmond City,6615,204,0.0308
2020-10-05,"September 19, 2020 to October 2, 2020",51770,Roanoke City,12276,652,0.0531
2020-10-05,"September 19, 2020 to October 2, 2020",51775,Salem,1565,77,0.0492
2020-10-05,"September 19, 2020 to October 2, 2020",51790,Staunton,1499,41,0.0274
2020-10-05,"September 19, 2020 to October 2, 2020",51800,Suffolk,2746,227,0.0827
2020-10-05,"September 19, 2020 to October 2, 2020",51810,Virginia Beach,9213,379,0.0411
2020-10-05,"September 19, 2020 to October 2, 2020",51820,Waynesboro,565,27,0.0478
2020-10-05,"September 19, 2020 to October 2, 2020",51830,Williamsburg,17,0,0
2020-10-05,"September 19, 2020 to October 2, 2020",51840,Winchester,1984,128,0.0645
2020-10-12,"September 12, 2020 to September 25, 2020",51001,Accomack,811,17,0.021
2020-10-12,"September 12, 2020 to September 25, 2020",51003,Albemarle,4138,171,0.0413
2020-10-12,"September 12, 2020 to September 25, 2020",51005,Alleghany,416,11,0.0264
2020-10-12,"September 12, 2020 to September 25, 2020",51007,Amelia,288,4,0.0139
2020-10-12,"September 12, 2020 to September 25, 2020",51009,Amherst,995,60,0.0603
2020-10-12,"September 12, 2020 to September 25, 2020",51011,Appomattox,431,24,0.0557
2020-10-12,"September 12, 2020 to September 25, 2020",51013,Arlington,6512,238,0.0365
2020-10-12,"September 12, 2020 to September 25, 2020",51015,Augusta,741,52,0.0702
2020-10-12,"September 12, 2020 to September 25, 2020",51017,Bath,41,3,0.0732
2020-10-12,"September 12, 2020 to September 25, 2020",51019,Bedford,1727,89,0.0515
2020-10-12,"September 12, 2020 to September 25, 2020",51021,Bland,118,4,0.0339
2020-10-12,"September 12, 2020 to September 25, 2020",51023,Botetourt,352,17,0.0483
2020-10-12,"September 12, 2020 to September 25, 2020",51025,Brunswick,938,29,0.0309
2020-10-12,"September 12, 2020 to September 25, 2020",51027,Buchanan,120,11,0.0917
2020-10-12,"September 12, 2020 to September 25, 2020",51029,Buckingham,234,13,0.0556
2020-10-12,"September 12, 2020 to September 25, 2020",51031,Campbell,1080,56,0.0519
2020-10-12,"September 12, 2020 to September 25, 2020",51033,Caroline,775,55,0.071
2020-10-12,"September 12, 2020 to September 25, 2020",51035,Carroll,396,37,0.0934
2020-10-12,"September 12, 2020 to September 25, 2020",51036,Charles City,122,4,0.0328
2020-10-12,"September 12, 2020 to September 25, 2020",51037,Charlotte,363,13,0.0358
2020-10-12,"September 12, 2020 to September 25, 2020",51041,Chesterfield,9353,470,0.0503
2020-10-12,"September 12, 2020 to September 25, 2020",51043,Clarke,254,8,0.0315
2020-10-12,"September 12, 2020 to September 25, 2020",51045,Craig,67,5,0.0746
