Report Date,14-Day Period,FIPS,Locality,PCR Testing Encounters,Positive PCR Testing Encounters,PCR Percent Positivity
10/05/2020,"September 5, 2020 to September 18, 2020",51001,Accomack,767,18,0.0235
10/05/2020,"September 5, 2020 to September 18, 2020",51003,Albemarle,3630,173,0.0477
10/05/2020,"September 5, 2020 to September 18, 2020",51005,Alleghany,347,13,0.0375
10/05/2020,"September 5, 2020 to September 18, 2020",51007,Amelia,298,15,0.0503
10/05/2020,"September 5, 2020 to September 18, 2020",51009,Amherst,912,54,0.0592
10/05/2020,"September 5, 2020 to September 18, 2020",51011,Appomattox,505,37,0.0733
10/05/2020,"September 5, 2020 to September 18, 2020",51013,Arlington,6070,222,0.0366
10/05/2020,"September 5, 2020 to September 18, 2020",51015,Augusta,609,52,0.0854
10/05/2020,"September 5, 2020 to September 18, 2020",51017,Bath,19,1,0.0526
10/05/2020,"September 5, 2020 to September 18, 2020",51019,Bedford,1624,99,0.061
10/05/2020,"September 5, 2020 to September 18, 2020",51021,Bland,153,4,0.0261
10/05/2020,"September 5, 2020 to September 18, 2020",51023,Botetourt,256,26,0.1016
10/05/2020,"September 5, 2020 to September 18, 2020",51025,Brunswick,892,41,0.046
10/05/2020,"September 5, 2020 to September 18, 2020",51027,Buchanan,96,11,0.1146
10/05/2020,"September 5, 2020 to September 18, 2020",51029,Buckingham,204,14,0.0686
10/05/2020,"September 5, 2020 to September 18, 2020",51031,Campbell,1079,52,0.0482
10/05/2020,"September 5, 2020 to September 18, 2020",51033,Caroline,564,53,0.094
10/05/2020,"September 5, 2020 to September 18, 2020",51035,Carroll,310,36,0.1161
10/05/2020,"September 5, 2020 to September 18, 2020",51036,Charles City,135,10,0.0741
10/05/2020,"September 5, 2020 to September 18, 2020",51037,Charlotte,314,21,0.0669
10/05/2020,"September 5, 2020 to September 18, 2020",51041,Chesterfield,8735,487,0.0558
10/05/2020,"September 5, 2020 to September 18, 2020",51043,Clarke,236,11,0.0466
10/05/2020,"September 5, 2020 to September 18, 2020",51045,Craig,46,5,0.1087
10/05/2020,"September 5, 2020 to September 18, 2020",51047,Culpeper,845,41,0.0485
10/05/2020,"September 5, 2020 to September 18, 2020",51049,Cumberland,97,3,0.0309
10/05/2020,"September 5, 2020 to September 18, 2020",51051,Dickenson,147,7,0.0476
10/05/2020,"September 5, 2020 to September 18, 2020",51053,Dinwiddie,269,18,0.0669
10/05/2020,"September 5, 2020 to September 18, 2020",51057,Essex,403,28,0.0695
10/05/2020,"September 5, 2020 to September 18, 2020",51059,Fairfax,23565,1358,0.0576
10/05/2020,"September 5, 2020 to September 18, 2020",51061,Fauquier,989,43,0.0435
10/05/2020,"September 5, 2020 to September 18, 2020",51063,Floyd,247,15,0.0607
10/05/2020,"September 5, 2020 to September 18, 2020",51065,Fluvanna,1467,120,0.0818
10/05/2020,"September 5, 2020 to September 18, 2020",51067,Franklin County,451,50,0.1109
10/05/2020,"September 5, 2020 to September 18, 2020",51069,Frederick,821,40,0.0487
10/05/2020,"September 5, 2020 to September 18, 2020",51071,Giles,346,21,0.0607
10/05/2020,"September 5, 2020 to September 18, 2020",51073,Gloucester,603,17,0.0282
10/05/2020,"September 5, 2020 to September 18, 2020",51075,Goochland,449,22,0.049
10/05/2020,"September 5, 2020 to September 18, 2020",51077,Grayson,369,43,0.1165
10/05/2020,"September 5, 2020 to September 18, 2020",51079,Greene,436,12,0.0275
10/05/2020,"September 5, 2020 to September 18, 2020",51081,Greensville,317,43,0.1356
10/05/2020,"September 5, 2020 to September 18, 2020",51083,Halifax,1257,67,0.0533
10/05/2020,"September 5, 2020 to September 18, 2020",51085,Hanover,3143,359,0.1142
10/05/2020,"September 5, 2020 to September 18, 2020",51087,Henrico,11347,570,0.0502
10/05/2020,"September 5, 2020 to September 18, 2020",51089,Henry,1163,144,0.1238
10/05/2020,"September 5, 2020 to September 18, 2020",51091,Highland,7,0,0
10/05/2020,"September 5, 2020 to September 18, 2020",51093,Isle of Wight,1259,111,0.0882
10/05/2020,"September 5, 2020 to September 18, 2020",51095,James City,1672,72,0.0431
10/05/2020,"September 5, 2020 to September 18, 2020",51097,King and Queen,171,18,0.1053
10/05/2020,"September 5, 2020 to September 18, 2020",51099,King George,382,9,0.0236
10/05/2020,"September 5, 2020 to September 18, 2020",51101,King William,412,32,0.0777
10/05/2020,"September 5, 2020 to September 18, 2020",51103,Lancaster,586,63,0.1075
10/05/2020,"September 5, 2020 to September 18, 2020",51105,Lee,665,18,0.0271
10/05/2020,"September 5, 2020 to September 18, 2020",51107,Loudoun,7598,579,0.0762
10/05/2020,"September 5, 2020 to September 18, 2020",51109,Louisa,759,29,0.0382
10/05/2020,"September 5, 2020 to September 18, 2020",51111,Lunenburg,258,10,0.0388
10/05/2020,"September 5, 2020 to September 18, 2020",51113,Madison,397,10,0.0252
10/05/2020,"September 5, 2020 to September 18, 2020",51115,Mathews,150,7,0.0467
10/05/2020,"September 5, 2020 to September 18, 2020",51117,Mecklenburg,1581,73,0.0462
10/05/2020,"September 5, 2020 to September 18, 2020",51119,Middlesex,351,11,0.0313
10/05/2020,"September 5, 2020 to September 18, 2020",51121,Montgomery,4743,526,0.1109
10/05/2020,"September 5, 2020 to September 18, 2020",51125,Nelson,319,13,0.0408
10/05/2020,"September 5, 2020 to September 18, 2020",51127,New Kent,515,28,0.0544
10/05/2020,"September 5, 2020 to September 18, 2020",51131,Northampton,267,0,0
10/05/2020,"September 5, 2020 to September 18, 2020",51133,Northumberland,419,44,0.105
10/05/2020,"September 5, 2020 to September 18, 2020",51135,Nottoway,434,45,0.1037
10/05/2020,"September 5, 2020 to September 18, 2020",51137,Orange,1102,41,0.0372
10/05/2020,"September 5, 2020 to September 18, 2020",51139,Page,374,12,0.0321
10/05/2020,"September 5, 2020 to September 18, 2020",51141,Patrick,205,18,0.0878
10/05/2020,"September 5, 2020 to September 18, 2020",51143,Pittsylvania,984,66,0.0671
10/05/2020,"September 5, 2020 to September 18, 2020",51145,Powhatan,452,14,0.031
10/05/2020,"September 5, 2020 to September 18, 2020",51147,Prince Edward,652,33,0.0506
10/05/2020,"September 5, 2020 to September 18, 2020",51149,Prince George,396,36,0.0909
10/05/2020,"September 5, 2020 to September 18, 2020",51153,Prince William,9993,818,0.0819
10/05/2020,"September 5, 2020 to September 18, 2020",51155,Pulaski,632,37,0.0585
10/05/2020,"September 5, 2020 to September 18, 2020",51157,Rappahannock,63,1,0.0159
10/05/2020,"September 5, 2020 to September 18, 2020",51159,Richmond County,304,11,0.0362
10/05/2020,"September 5, 2020 to September 18, 2020",51161,Roanoke County,1121,95,0.0847
10/05/2020,"September 5, 2020 to September 18, 2020",51163,Rockbridge,784,23,0.0293
10/05/2020,"September 5, 2020 to September 18, 2020",51165,Rockingham,1602,150,0.0936
10/05/2020,"September 5, 2020 to September 18, 2020",51167,Russell,273,24,0.0879
10/05/2020,"September 5, 2020 to September 18, 2020",51169,Scott,284,15,0.0528
10/05/2020,"September 5, 2020 to September 18, 2020",51171,Shenandoah,896,21,0.0234
10/05/2020,"September 5, 2020 to September 18, 2020",51173,Smyth,1244,88,0.0707
10/05/2020,"September 5, 2020 to September 18, 2020",51175,Southampton,481,105,0.2183
10/05/2020,"September 5, 2020 to September 18, 2020",51177,Spotsylvania,1700,120,0.0706
10/05/2020,"September 5, 2020 to September 18, 2020",51179,Stafford,2327,158,0.0679
10/05/2020,"September 5, 2020 to September 18, 2020",51181,Surry,183,18,0.0984
10/05/2020,"September 5, 2020 to September 18, 2020",51183,Sussex,271,103,0.3801
10/05/2020,"September 5, 2020 to September 18, 2020",51185,Tazewell,478,33,0.069
10/05/2020,"September 5, 2020 to September 18, 2020",51187,Warren,955,16,0.0168
10/05/2020,"September 5, 2020 to September 18, 2020",51191,Washington,1024,68,0.0664
10/05/2020,"September 5, 2020 to September 18, 2020",51193,Westmoreland,276,21,0.0761
10/05/2020,"September 5, 2020 to September 18, 2020",51195,Wise,379,32,0.0844
10/05/2020,"September 5, 2020 to September 18, 2020",51197,Wythe,529,25,0.0473
10/05/2020,"September 5, 2020 to September 18, 2020",51199,York,772,45,0.0583
10/05/2020,"September 5, 2020 to September 18, 2020",51510,Alexandria,3935,211,0.0536
10/05/2020,"September 5, 2020 to September 18, 2020",51520,Bristol,334,28,0.0838
10/05/2020,"September 5, 2020 to September 18, 2020",51530,Buena Vista City,44,1,0.0227
10/05/2020,"September 5, 2020 to September 18, 2020",51540,Charlottesville,2757,134,0.0486
10/05/2020,"September 5, 2020 to September 18, 2020",51550,Chesapeake,6016,288,0.0479
10/05/2020,"September 5, 2020 to September 18, 2020",51570,Colonial Heights,444,27,0.0608
10/05/2020,"September 5, 2020 to September 18, 2020",51580,Covington,347,13,0.0375
10/05/2020,"September 5, 2020 to September 18, 2020",51590,Danville,2668,183,0.0686
10/05/2020,"September 5, 2020 to September 18, 2020",51595,Emporia,317,43,0.1356
10/05/2020,"September 5, 2020 to September 18, 2020",51600,Fairfax City,3,0,0
10/05/2020,"September 5, 2020 to September 18, 2020",51610,Falls Church,344,16,0.0465
10/05/2020,"September 5, 2020 to September 18, 2020",51620,Franklin City,815,68,0.0834
10/05/2020,"September 5, 2020 to September 18, 2020",51630,Fredericksburg,533,31,0.0582
10/05/2020,"September 5, 2020 to September 18, 2020",51640,Galax,165,13,0.0788
10/05/2020,"September 5, 2020 to September 18, 2020",51650,Hampton,2197,127,0.0578
10/05/2020,"September 5, 2020 to September 18, 2020",51660,Harrisonburg,1764,294,0.1667
10/05/2020,"September 5, 2020 to September 18, 2020",51670,Hopewell,1120,129,0.1152
10/05/2020,"September 5, 2020 to September 18, 2020",51678,Lexington,784,23,0.0293
10/05/2020,"September 5, 2020 to September 18, 2020",51680,Lynchburg,3120,222,0.0712
10/05/2020,"September 5, 2020 to September 18, 2020",51683,Manassas City,848,97,0.1144
10/05/2020,"September 5, 2020 to September 18, 2020",51685,Manassas Park,848,97,0.1144
10/05/2020,"September 5, 2020 to September 18, 2020",51690,Martinsville,13,2,0.1538
10/05/2020,"September 5, 2020 to September 18, 2020",51700,Newport News,4617,199,0.0431
10/05/2020,"September 5, 2020 to September 18, 2020",51710,Norfolk,6076,293,0.0482
10/05/2020,"September 5, 2020 to September 18, 2020",51720,Norton,101,5,0.0495
10/05/2020,"September 5, 2020 to September 18, 2020",51730,Petersburg,1728,103,0.0596
10/05/2020,"September 5, 2020 to September 18, 2020",51735,Poquoson,160,8,0.05
10/05/2020,"September 5, 2020 to September 18, 2020",51740,Portsmouth,2420,254,0.105
10/05/2020,"September 5, 2020 to September 18, 2020",51750,Radford,496,42,0.0847
10/05/2020,"September 5, 2020 to September 18, 2020",51760,Richmond City,6734,286,0.0425
10/05/2020,"September 5, 2020 to September 18, 2020",51770,Roanoke City,8992,547,0.0608
10/05/2020,"September 5, 2020 to September 18, 2020",51775,Salem,1192,68,0.057
10/05/2020,"September 5, 2020 to September 18, 2020",51790,Staunton,818,67,0.0819
10/05/2020,"September 5, 2020 to September 18, 2020",51800,Suffolk,2348,216,0.092
10/05/2020,"September 5, 2020 to September 18, 2020",51810,Virginia Beach,9141,459,0.0502
10/05/2020,"September 5, 2020 to September 18, 2020",51820,Waynesboro,399,26,0.0652
10/05/2020,"September 5, 2020 to September 18, 2020",51830,Williamsburg,14,0,0
10/05/2020,"September 5, 2020 to September 18, 2020",51840,Winchester,1954,90,0.0461
10/05/2020,"September 19, 2020 to October 2, 2020",51001,Accomack,633,10,0.0158
10/05/2020,"September 19, 2020 to October 2, 2020",51003,Albemarle,4076,197,0.0483
10/05/2020,"September 19, 2020 to October 2, 2020",51005,Alleghany,319,8,0.0251
10/05/2020,"September 19, 2020 to October 2, 2020",51007,Amelia,230,2,0.0087
10/05/2020,"September 19, 2020 to October 2, 2020",51009,Amherst,815,53,0.065
10/05/2020,"September 19, 2020 to October 2, 2020",51011,Appomattox,456,17,0.0373
10/05/2020,"September 19, 2020 to October 2, 2020",51013,Arlington,6414,186,0.029
10/05/2020,"September 19, 2020 to October 2, 2020",51015,Augusta,664,37,0.0557
10/05/2020,"September 19, 2020 to October 2, 2020",51017,Bath,62,4,0.0645
10/05/2020,"September 19, 2020 to October 2, 2020",51019,Bedford,1772,101,0.057
10/05/2020,"September 19, 2020 to October 2, 2020",51021,Bland,124,1,0.0081
10/05/2020,"September 19, 2020 to October 2, 2020",51023,Botetourt,511,17,0.0333
10/05/2020,"September 19, 2020 to October 2, 2020",51025,Brunswick,743,27,0.0363
10/05/2020,"September 19, 2020 to October 2, 2020",51027,Buchanan,119,18,0.1513
10/05/2020,"September 19, 2020 to October 2, 2020",51029,Buckingham,257,12,0.0467
10/05/2020,"September 19, 2020 to October 2, 2020",51031,Campbell,1032,53,0.0514
10/05/2020,"September 19, 2020 to October 2, 2020",51033,Caroline,656,36,0.0549
10/05/2020,"September 19, 2020 to October 2, 2020",51035,Carroll,435,23,0.0529
10/05/2020,"September 19, 2020 to October 2, 2020",51036,Charles City,92,0,0
10/05/2020,"September 19, 2020 to October 2, 2020",51037,Charlotte,439,45,0.1025
10/05/2020,"September 19, 2020 to October 2, 2020",51041,Chesterfield,8366,376,0.0449
10/05/2020,"September 19, 2020 to October 2, 2020",51043,Clarke,230,5,0.0217
10/05/2020,"September 19, 2020 to October 2, 2020",51045,Craig,74,3,0.0405
10/05/2020,"September 19, 2020 to October 2, 2020",51047,Culpeper,921,38,0.0413
10/05/2020,"September 19, 2020 to October 2, 2020",51049,Cumberland,123,4,0.0325
10/05/2020,"September 19, 2020 to October 2, 2020",51051,Dickenson,123,4,0.0325
10/05/2020,"September 19, 2020 to October 2, 2020",51053,Dinwiddie,314,17,0.0541
10/05/2020,"September 19, 2020 to October 2, 2020",51057,Essex,388,13,0.0335
10/05/2020,"September 19, 2020 to October 2, 2020",51059,Fairfax,26363,1086,0.0412
10/05/2020,"September 19, 2020 to October 2, 2020",51061,Fauquier,1155,25,0.0216
10/05/2020,"September 19, 2020 to October 2, 2020",51063,Floyd,358,16,0.0447
10/05/2020,"September 19, 2020 to October 2, 2020",51065,Fluvanna,538,20,0.0372
10/05/2020,"September 19, 2020 to October 2, 2020",51067,Franklin County,631,73,0.1157
10/05/2020,"September 19, 2020 to October 2, 2020",51069,Frederick,1662,36,0.0217
10/05/2020,"September 19, 2020 to October 2, 2020",51071,Giles,241,9,0.0373
10/05/2020,"September 19, 2020 to October 2, 2020",51073,Gloucester,658,24,0.0365
10/05/2020,"September 19, 2020 to October 2, 2020",51075,Goochland,367,21,0.0572
10/05/2020,"September 19, 2020 to October 2, 2020",51077,Grayson,300,22,0.0733
10/05/2020,"September 19, 2020 to October 2, 2020",51079,Greene,542,33,0.0609
10/05/2020,"September 19, 2020 to October 2, 2020",51081,Greensville,411,61,0.1484
10/05/2020,"September 19, 2020 to October 2, 2020",51083,Halifax,1383,47,0.034
10/05/2020,"September 19, 2020 to October 2, 2020",51085,Hanover,2792,140,0.0501
10/05/2020,"September 19, 2020 to October 2, 2020",51087,Henrico,11742,415,0.0353
10/05/2020,"September 19, 2020 to October 2, 2020",51089,Henry,1433,128,0.0893
10/05/2020,"September 19, 2020 to October 2, 2020",51091,Highland,23,0,0
10/05/2020,"September 19, 2020 to October 2, 2020",51093,Isle of Wight,1187,63,0.0531
10/05/2020,"September 19, 2020 to October 2, 2020",51095,James City,1869,36,0.0193
10/05/2020,"September 19, 2020 to October 2, 2020",51097,King and Queen,162,10,0.0617
10/05/2020,"September 19, 2020 to October 2, 2020",51099,King George,264,7,0.0265
10/05/2020,"September 19, 2020 to October 2, 2020",51101,King William,375,16,0.0427
10/05/2020,"September 19, 2020 to October 2, 2020",51103,Lancaster,846,35,0.0414
10/05/2020,"September 19, 2020 to October 2, 2020",51105,Lee,364,24,0.0659
10/05/2020,"September 19, 2020 to October 2, 2020",51107,Loudoun,7744,387,0.05
10/05/2020,"September 19, 2020 to October 2, 2020",51109,Louisa,780,38,0.0487
10/05/2020,"September 19, 2020 to October 2, 2020",51111,Lunenburg,278,7,0.0252
10/05/2020,"September 19, 2020 to October 2, 2020",51113,Madison,318,5,0.0157
10/05/2020,"September 19, 2020 to October 2, 2020",51115,Mathews,240,46,0.1917
10/05/2020,"September 19, 2020 to October 2, 2020",51117,Mecklenburg,2151,138,0.0642
10/05/2020,"September 19, 2020 to October 2, 2020",51119,Middlesex,270,13,0.0481
10/05/2020,"September 19, 2020 to October 2, 2020",51121,Montgomery,5354,338,0.0631
10/05/2020,"September 19, 2020 to October 2, 2020",51125,Nelson,317,16,0.0505
10/05/2020,"September 19, 2020 to October 2, 2020",51127,New Kent,523,32,0.0612
10/05/2020,"September 19, 2020 to October 2, 2020",51131,Northampton,255,4,0.0157
10/05/2020,"September 19, 2020 to October 2, 2020",51133,Northumberland,470,40,0.0851
10/05/2020,"September 19, 2020 to October 2, 2020",51135,Nottoway,500,25,0.05
10/05/2020,"September 19, 2020 to October 2, 2020",51137,Orange,961,29,0.0302
10/05/2020,"September 19, 2020 to October 2, 2020",51139,Page,417,22,0.0528
10/05/2020,"September 19, 2020 to October 2, 2020",51141,Patrick,222,15,0.0676
10/05/2020,"September 19, 2020 to October 2, 2020",51143,Pittsylvania,1141,76,0.0666
10/05/2020,"September 19, 2020 to October 2, 2020",51145,Powhatan,578,19,0.0329
10/05/2020,"September 19, 2020 to October 2, 2020",51147,Prince Edward,661,33,0.0499
10/05/2020,"September 19, 2020 to October 2, 2020",51149,Prince George,589,64,0.1087
10/05/2020,"September 19, 2020 to October 2, 2020",51153,Prince William,9553,584,0.0611
10/05/2020,"September 19, 2020 to October 2, 2020",51155,Pulaski,694,23,0.0331
10/05/2020,"September 19, 2020 to October 2, 2020",51157,Rappahannock,74,1,0.0135
10/05/2020,"September 19, 2020 to October 2, 2020",51159,Richmond County,269,6,0.0223
10/05/2020,"September 19, 2020 to October 2, 2020",51161,Roanoke County,1912,117,0.0612
10/05/2020,"September 19, 2020 to October 2, 2020",51163,Rockbridge,910,28,0.0308
10/05/2020,"September 19, 2020 to October 2, 2020",51165,Rockingham,1944,174,0.0895
10/05/2020,"September 19, 2020 to October 2, 2020",51167,Russell,375,22,0.0587
10/05/2020,"September 19, 2020 to October 2, 2020",51169,Scott,380,22,0.0579
10/05/2020,"September 19, 2020 to October 2, 2020",51171,Shenandoah,1293,22,0.017
10/05/2020,"September 19, 2020 to October 2, 2020",51173,Smyth,912,43,0.0471
10/05/2020,"September 19, 2020 to October 2, 2020",51175,Southampton,900,231,0.2567
10/05/2020,"September 19, 2020 to October 2, 2020",51177,Spotsylvania,1718,83,0.0483
10/05/2020,"September 19, 2020 to October 2, 2020",51179,Stafford,1940,100,0.0515
10/05/2020,"September 19, 2020 to October 2, 2020",51181,Surry,152,21,0.1382
10/05/2020,"September 19, 2020 to October 2, 2020",51183,Sussex,226,61,0.2699
10/05/2020,"September 19, 2020 to October 2, 2020",51185,Tazewell,552,21,0.038
10/05/2020,"September 19, 2020 to October 2, 2020",51187,Warren,890,25,0.0281
10/05/2020,"September 19, 2020 to October 2, 2020",51191,Washington,837,72,0.086
10/05/2020,"September 19, 2020 to October 2, 2020",51193,Westmoreland,440,21,0.0477
10/05/2020,"September 19, 2020 to October 2, 2020",51195,Wise,565,40,0.0708
10/05/2020,"September 19, 2020 to October 2, 2020",51197,Wythe,500,28,0.056
10/05/2020,"September 19, 2020 to October 2, 2020",51199,York,923,22,0.0238
10/05/2020,"September 19, 2020 to October 2, 2020",51510,Alexandria,4330,199,0.046
10/05/2020,"September 19, 2020 to October 2, 2020",51520,Bristol,263,12,0.0456
10/05/2020,"September 19, 2020 to October 2, 2020",51530,Buena Vista City,82,2,0.0244
10/05/2020,"September 19, 2020 to October 2, 2020",51540,Charlottesville,3037,141,0.0464
10/05/2020,"September 19, 2020 to October 2, 2020",51550,Chesapeake,4971,248,0.0499
10/05/2020,"September 19, 2020 to October 2, 2020",51570,Colonial Heights,548,28,0.0511
10/05/2020,"September 19, 2020 to October 2, 2020",51580,Covington,319,8,0.0251
10/05/2020,"September 19, 2020 to October 2, 2020",51590,Danville,2669,175,0.0656
10/05/2020,"September 19, 2020 to October 2, 2020",51595,Emporia,411,61,0.1484
10/05/2020,"September 19, 2020 to October 2, 2020",51600,Fairfax City,7,0,0
10/05/2020,"September 19, 2020 to October 2, 2020",51610,Falls Church,392,14,0.0357
10/05/2020,"September 19, 2020 to October 2, 2020",51620,Franklin City,781,57,0.073
10/05/2020,"September 19, 2020 to October 2, 2020",51630,Fredericksburg,474,13,0.0274
10/05/2020,"September 19, 2020 to October 2, 2020",51640,Galax,218,20,0.0917
10/05/2020,"September 19, 2020 to October 2, 2020",51650,Hampton,2169,89,0.041
10/05/2020,"September 19, 2020 to October 2, 2020",51660,Harrisonburg,1356,107,0.0789
10/05/2020,"September 19, 2020 to October 2, 2020",51670,Hopewell,1054,50,0.0474
10/05/2020,"September 19, 2020 to October 2, 2020",51678,Lexington,910,28,0.0308
10/05/2020,"September 19, 2020 to October 2, 2020",51680,Lynchburg,3676,226,0.0615
10/05/2020,"September 19, 2020 to October 2, 2020",51683,Manassas City,1046,83,0.0793
10/05/2020,"September 19, 2020 to October 2, 2020",51685,Manassas Park,1046,83,0.0793
10/05/2020,"September 19, 2020 to October 2, 2020",51690,Martinsville,12,0,0
10/05/2020,"September 19, 2020 to October 2, 2020",51700,Newport News,5022,139,0.0277
10/05/2020,"September 19, 2020 to October 2, 2020",51710,Norfolk,6036,265,0.0439
10/05/2020,"September 19, 2020 to October 2, 2020",51720,Norton,147,10,0.068
10/05/2020,"September 19, 2020 to October 2, 2020",51730,Petersburg,1925,117,0.0608
10/05/2020,"September 19, 2020 to October 2, 2020",51735,Poquoson,156,3,0.0192
10/05/2020,"September 19, 2020 to October 2, 2020",51740,Portsmouth,2343,113,0.0482
10/05/2020,"September 19, 2020 to October 2, 2020",51750,Radford,422,16,0.0379
