"Report Date",HealthDistrict,HPRName,Cases,Death
2020-05-24,Alexandria,"Northern Region",0,0
2020-05-24,Alleghany,"Southwest Region",0,0
2020-05-24,Arlington,"Northern Region",0,0
2020-05-24,"Central Shenandoah","Northwest Region",0,0
2020-05-24,"Central Virginia","Southwest Region",0,0
2020-05-24,Chesapeake,"Eastern Region",0,0
2020-05-24,Chesterfield,"Central Region",0,0
2020-05-24,Chickahominy,"Central Region",0,0
2020-05-24,Crater,"Central Region",0,0
2020-05-24,"Cumberland Plateau","Southwest Region",0,0
2020-05-24,"Eastern Shore","Eastern Region",0,0
2020-05-24,Fairfax,"Northern Region",2,0
2020-05-24,Hampton,"Eastern Region",0,0
2020-05-24,Henrico,"Central Region",0,0
2020-05-24,Lenowisco,"Southwest Region",0,0
2020-05-24,"Lord Fairfax","Northwest Region",0,0
2020-05-24,Loudoun,"Northern Region",0,0
2020-05-24,"Mount Rogers","Southwest Region",0,0
2020-05-24,"New River","Southwest Region",0,0
2020-05-24,Norfolk,"Eastern Region",0,0
2020-05-24,Peninsula,"Eastern Region",0,0
2020-05-24,Piedmont,"Central Region",0,0
2020-05-24,Pittsylvania-Danville,"Southwest Region",0,0
2020-05-24,Portsmouth,"Eastern Region",0,0
2020-05-24,"Prince William","Northern Region",0,0
2020-05-24,Rappahannock,"Northwest Region",0,0
2020-05-24,"Rappahannock Rapidan","Northwest Region",0,0
2020-05-24,Richmond,"Central Region",0,0
2020-05-24,Roanoke,"Southwest Region",0,0
2020-05-24,Southside,"Central Region",0,0
2020-05-24,"Thomas Jefferson","Northwest Region",0,0
2020-05-24,"Three Rivers","Eastern Region",0,0
2020-05-24,"Virginia Beach","Eastern Region",0,0
2020-05-24,"West Piedmont","Southwest Region",0,0
2020-05-24,"Western Tidewater","Eastern Region",0,0
2020-05-25,Alexandria,"Northern Region",0,0
2020-05-25,Alleghany,"Southwest Region",0,0
2020-05-25,Arlington,"Northern Region",0,0
2020-05-25,"Central Shenandoah","Northwest Region",0,0
