Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Jackson, MS HCS",1187,13,1098,76,10672,7546,599
"Providence, RI HCS",1170,38,1052,80,12971,8148,19
"Poplar Bluff, MO HCS",1153,11,1062,80,3722,2430,328
"Salem, VA HCS",1130,17,1039,74,10090,5986,529
"Alexandria, LA HCS",1124,18,1057,49,7591,5000,92
"San Juan, PR HCS",1100,52,999,49,27931,19580,462
"Battle Creek, MI HCS",1083,42,973,68,11119,6772,997
"Wilkes-Barre, PA HCS",1066,42,959,65,13572,7899,500
"Reno, NV HCS",1040,17,958,65,10263,7111,515
"Black Hills, SD HCS",1033,8,987,38,7685,6360,74
"Altoona, PA HCS",1022,28,942,52,9648,6048,416
"Northport, NY HCS",1013,39,909,65,12302,9486,<10
"Marion, IL HCS",997,13,929,55,6388,4104,307
"Wilmington, DE HCS",974,24,912,38,14803,11430,477
"Syracuse, NY HCS",967,17,888,62,11560,8020,72
"Tomah, WI HCS",936,9,898,29,9858,6275,403
"Detroit, MI HCS",871,32,755,84,10601,6162,<10
Northern Arizona HCS,871,12,815,44,9871,6492,<10
"Huntington, WV HCS",853,20,766,67,9721,6898,179
"Hudson Valley, NY HCS",838,22,781,35,10846,7999,495
"Danville, IL HCS",837,11,775,51,7285,5348,203
"Saginaw, MI HCS",816,48,719,49,9817,6337,416
"Bedford, MA HCS",798,13,738,47,15739,12643,<10
"Finger Lakes, NY HCS",764,17,712,35,11125,7883,387
Central Western Massachusetts HCS,745,15,677,53,10310,5520,615
"Erie, PA HCS",721,8,680,33,7442,5371,395
"Anchorage, AK HCS",707,21,675,11,5065,3677,596
"Iron Mountain, MI HCS",702,10,663,29,8008,6609,297
"Tuscaloosa, AL HCS",690,2,650,38,5197,3444,<10
"San Francisco, CA HCS",684,10,637,37,13597,10485,558
"Cheyenne, WY HCS",683,15,640,28,6404,4560,92
"Albany, NY HCS",656,17,597,42,9988,6835,396
"Chillicothe, OH HCS",641,10,611,20,8501,6118,314
"Manchester, NH HCS",617,22,564,31,8039,4795,426
"Togus, ME HCS",576,23,527,26,11757,6220,874
"Big Spring, TX HCS",569,6,518,45,4011,2734,214
"Clarksburg, WV HCS",538,20,480,38,6482,5080,122
"Butler, PA HCS",537,15,507,15,7150,5124,202
"Coatesville, PA HCS",476,13,441,22,6665,4992,202
"Grand Junction, CO HCS",469,9,433,27,5451,4450,209
"Walla Walla, WA HCS",418,5,388,25,5228,3747,449
"Sheridan, WY HCS",356,3,347,6,3763,2979,18
"Honolulu, HI HCS",315,9,292,14,12255,8582,485
"Beckley, WV HCS",312,15,284,13,5018,3717,58
"Spokane, WA HCS",279,3,255,21,8217,4709,519
"Roseburg, OR HCS",267,10,247,10,7695,4219,30
"White River Junction, VT HCS",254,14,229,11,8278,5191,461
"White City, OR HCS",235,8,205,22,5499,3549,<10
"Manila, PI HCS",3,1,2,0,0,0,0
,0,0,0,0,775,731,0
