"﻿Report Date","Health District","Age Group","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-03,"Rappahannock Rapidan",10-19,132,3,0
2020-07-03,Crater,50-59,275,32,3
2020-07-03,Arlington,Missing,11,1,0
2020-07-03,Roanoke,50-59,42,1,0
2020-07-03,Rappahannock,10-19,227,2,0
2020-07-03,Roanoke,10-19,51,0,0
2020-07-03,"Eastern Shore",Missing,6,0,0
2020-07-03,"Mount Rogers",Missing,1,0,0
2020-07-03,"Prince William",60-69,754,161,38
2020-07-03,Alleghany,70-79,53,7,7
2020-07-03,Crater,20-29,232,7,0
2020-07-03,Loudoun,60-69,250,48,6
2020-07-03,Fairfax,0-9,476,18,0
2020-07-03,Roanoke,Missing,3,0,0
2020-07-03,Alexandria,20-29,367,8,1
2020-07-03,Portsmouth,70-79,32,11,5
2020-07-03,Alleghany,30-39,65,2,0
2020-07-03,"Prince William",20-29,1645,52,0
2020-07-03,Southside,70-79,58,9,13
2020-07-03,Piedmont,Missing,1,0,0
2020-07-03,Rappahannock,0-9,112,1,0
2020-07-03,Henrico,30-39,449,17,0
2020-07-03,"Prince William",10-19,773,8,0
2020-07-03,Chickahominy,10-19,41,0,0
2020-07-03,"Lord Fairfax",0-9,61,1,0
2020-07-03,"Central Virginia",Missing,1,0,0
2020-07-03,Fairfax,60-69,1420,306,60
2020-07-03,Hampton,20-29,80,2,0
2020-07-03,"Central Shenandoah",40-49,344,14,0
2020-07-03,Pittsylvania-Danville,0-9,6,0,0
2020-07-03,Crater,30-39,277,5,0
2020-07-03,"Virginia Beach",70-79,72,25,7
2020-07-03,"Virginia Beach",30-39,199,11,0
2020-07-03,Piedmont,0-9,21,0,0
2020-07-03,"Central Shenandoah",30-39,317,6,0
2020-07-03,Hampton,50-59,48,9,1
2020-07-03,Peninsula,70-79,89,38,11
2020-07-03,Arlington,20-29,432,21,0
2020-07-03,"West Piedmont",70-79,26,9,3
2020-07-03,Richmond,20-29,466,14,0
2020-07-03,Roanoke,0-9,13,0,0
2020-07-03,Hampton,30-39,68,3,0
2020-07-03,"Thomas Jefferson",30-39,196,5,0
2020-07-03,"Western Tidewater",40-49,106,5,1
2020-07-03,Richmond,50-59,289,50,1
2020-07-03,"Western Tidewater",50-59,145,13,2
2020-07-03,Lenowisco,10-19,4,0,0
2020-07-03,Chesapeake,0-9,28,1,0
2020-07-03,Peninsula,50-59,139,20,3
2020-07-03,"Cumberland Plateau",Missing,0,0,0
2020-07-03,Peninsula,60-69,130,29,3
2020-07-03,"Lord Fairfax",30-39,342,11,1
2020-07-03,"Virginia Beach",Missing,26,0,0
2020-07-03,Arlington,40-49,430,48,6
2020-07-03,"West Piedmont",10-19,67,0,0
2020-07-03,Chickahominy,70-79,57,22,7
2020-07-03,Pittsylvania-Danville,20-29,24,0,0
2020-07-03,Loudoun,50-59,634,55,2
2020-07-03,Richmond,30-39,484,25,1
2020-07-03,"Thomas Jefferson",Missing,1,0,0
2020-07-03,"Rappahannock Rapidan",80+,21,13,6
2020-07-03,"Lord Fairfax",Missing,2,0,0
2020-07-03,"Cumberland Plateau",50-59,6,1,0
2020-07-03,Loudoun,Missing,59,0,1
2020-07-03,Southside,50-59,60,8,0
2020-07-03,Chesterfield,20-29,521,5,0
2020-07-03,Norfolk,70-79,40,24,4
2020-07-03,Alleghany,10-19,77,0,0
2020-07-03,Crater,80+,100,18,8
2020-07-03,Portsmouth,Missing,10,0,0
2020-07-03,"Western Tidewater",10-19,17,0,0
2020-07-03,Chesterfield,10-19,305,0,0
2020-07-03,Southside,60-69,55,12,4
2020-07-03,Crater,Missing,9,0,0
2020-07-03,Arlington,50-59,380,66,6
2020-07-03,Piedmont,70-79,66,18,3
2020-07-03,Alexandria,60-69,196,44,2
2020-07-03,Portsmouth,30-39,112,5,1
2020-07-03,Lenowisco,20-29,7,0,0
2020-07-03,"Central Virginia",30-39,62,1,0
2020-07-03,Norfolk,10-19,59,1,0
2020-07-03,"New River",10-19,28,0,0
2020-07-03,"Central Virginia",20-29,86,2,0
2020-07-03,Rappahannock,50-59,379,46,4
2020-07-03,Rappahannock,60-69,210,45,5
2020-07-03,Piedmont,20-29,167,2,0
2020-07-03,"New River",60-69,27,4,0
2020-07-03,Roanoke,40-49,66,1,0
2020-07-03,"Three Rivers",20-29,112,4,0
2020-07-03,Rappahannock,40-49,442,37,2
2020-07-03,Portsmouth,80+,21,7,5
2020-07-03,"Central Shenandoah",Missing,1,0,0
2020-07-03,"Eastern Shore",70-79,47,16,9
2020-07-03,"Mount Rogers",70-79,61,27,10
2020-07-03,"Cumberland Plateau",70-79,4,0,0
2020-07-03,Piedmont,10-19,34,0,0
2020-07-03,Southside,20-29,43,2,0
2020-07-03,Chesterfield,50-59,443,32,4
2020-07-03,"Rappahannock Rapidan",20-29,272,4,0
2020-07-03,"Cumberland Plateau",60-69,6,1,0
2020-07-03,Roanoke,70-79,16,3,1
2020-07-03,"Central Shenandoah",20-29,403,6,0
2020-07-03,Pittsylvania-Danville,80+,8,5,2
2020-07-03,"Virginia Beach",80+,90,31,21
2020-07-03,"Central Shenandoah",50-59,372,32,2
2020-07-03,Lenowisco,Missing,0,0,0
2020-07-03,Fairfax,30-39,2716,173,5
2020-07-03,Lenowisco,60-69,7,5,2
2020-07-03,Loudoun,30-39,731,24,0
2020-07-03,"West Piedmont",80+,15,7,1
2020-07-03,Roanoke,80+,42,3,9
2020-07-03,Fairfax,40-49,2637,248,9
2020-07-03,"Thomas Jefferson",80+,76,27,18
2020-07-03,Roanoke,20-29,104,3,0
2020-07-03,Henrico,60-69,285,46,30
2020-07-03,"Lord Fairfax",40-49,332,17,1
2020-07-03,"Western Tidewater",Missing,6,0,0
2020-07-03,Chickahominy,60-69,76,18,6
2020-07-03,Chesapeake,20-29,156,3,0
2020-07-03,"Three Rivers",Missing,1,0,0
2020-07-03,Henrico,10-19,169,3,0
2020-07-03,"Mount Rogers",30-39,105,4,0
2020-07-03,"Eastern Shore",30-39,235,8,0
2020-07-03,Chesterfield,0-9,119,0,0
2020-07-03,"Central Shenandoah",10-19,113,1,0
2020-07-03,Crater,0-9,26,1,0
2020-07-03,Fairfax,70-79,669,238,109
2020-07-03,Rappahannock,80+,91,32,19
2020-07-03,Alexandria,10-19,169,3,0
2020-07-03,Portsmouth,40-49,68,6,0
2020-07-03,"Three Rivers",50-59,95,8,0
2020-07-03,Alleghany,Missing,1,0,0
2020-07-03,Alexandria,30-39,541,30,0
2020-07-03,Southside,Missing,0,0,0
2020-07-03,Portsmouth,60-69,55,17,5
2020-07-03,Roanoke,30-39,94,0,0
2020-07-03,"Three Rivers",60-69,68,11,0
2020-07-03,Fairfax,50-59,2200,292,32
2020-07-03,Portsmouth,50-59,77,20,2
2020-07-03,Chickahominy,80+,83,35,24
2020-07-03,"Rappahannock Rapidan",50-59,208,25,2
2020-07-03,Fairfax,80+,782,294,291
2020-07-03,Hampton,Missing,5,0,0
2020-07-03,"Cumberland Plateau",80+,0,0,0
2020-07-03,Alleghany,50-59,68,5,1
2020-07-03,"Prince William",40-49,1951,148,6
2020-07-03,Fairfax,Missing,152,3,0
2020-07-03,"Virginia Beach",40-49,171,19,1
2020-07-03,Richmond,Missing,18,0,0
2020-07-03,Norfolk,40-49,139,14,0
2020-07-03,Piedmont,80+,48,15,8
2020-07-03,"Virginia Beach",60-69,144,18,1
2020-07-03,"West Piedmont",40-49,85,8,2
2020-07-03,Arlington,10-19,95,5,0
2020-07-03,Lenowisco,0-9,3,0,0
2020-07-03,Pittsylvania-Danville,50-59,43,10,0
2020-07-03,"Virginia Beach",50-59,156,13,0
2020-07-03,Chesapeake,Missing,10,1,0
2020-07-03,"Central Shenandoah",80+,113,27,16
2020-07-03,"Thomas Jefferson",40-49,160,12,0
2020-07-03,"Rappahannock Rapidan",60-69,114,16,4
2020-07-03,Norfolk,30-39,197,12,0
2020-07-03,"Rappahannock Rapidan",Missing,7,0,0
2020-07-03,"Lord Fairfax",80+,137,35,36
2020-07-03,"Three Rivers",10-19,25,0,0
2020-07-03,Piedmont,40-49,195,10,0
2020-07-03,Norfolk,80+,22,7,3
2020-07-03,Peninsula,20-29,209,1,0
2020-07-03,Norfolk,50-59,131,20,2
2020-07-03,"Thomas Jefferson",50-59,117,12,1
2020-07-03,Richmond,70-79,84,38,12
2020-07-03,Chesterfield,70-79,131,23,16
2020-07-03,Piedmont,30-39,206,3,0
2020-07-03,"Prince William",30-39,1738,90,2
2020-07-03,Alleghany,20-29,97,1,0
2020-07-03,Alleghany,0-9,10,0,0
2020-07-03,"Mount Rogers",40-49,107,3,1
2020-07-03,"Eastern Shore",40-49,247,10,2
2020-07-03,"Central Virginia",60-69,46,4,2
2020-07-03,Richmond,10-19,192,2,0
2020-07-03,Pittsylvania-Danville,60-69,29,8,1
2020-07-03,Pittsylvania-Danville,Missing,0,0,0
2020-07-03,Chesterfield,60-69,287,37,9
2020-07-03,Southside,10-19,8,0,0
2020-07-03,"New River",80+,13,4,1
2020-07-03,"Central Virginia",50-59,62,2,1
2020-07-03,Hampton,70-79,23,8,0
2020-07-03,Pittsylvania-Danville,10-19,13,0,0
2020-07-03,Richmond,60-69,199,45,6
2020-07-03,"West Piedmont",20-29,69,1,0
2020-07-03,Arlington,70-79,172,72,32
2020-07-03,Chickahominy,50-59,118,22,1
2020-07-03,Alleghany,40-49,68,1,0
2020-07-03,"Prince William",50-59,1432,185,14
2020-07-03,"Mount Rogers",0-9,37,1,0
2020-07-03,"Eastern Shore",0-9,20,2,0
2020-07-03,"Thomas Jefferson",60-69,82,18,2
2020-07-03,Pittsylvania-Danville,70-79,23,11,0
2020-07-03,Chesterfield,80+,137,28,42
2020-07-03,Richmond,0-9,98,5,0
2020-07-03,Chesapeake,80+,66,24,12
2020-07-03,Peninsula,40-49,134,7,1
2020-07-03,Henrico,0-9,104,2,0
2020-07-03,Lenowisco,80+,0,0,0
2020-07-03,Piedmont,60-69,135,19,2
2020-07-03,"West Piedmont",0-9,15,1,0
2020-07-03,"Rappahannock Rapidan",70-79,39,12,7
2020-07-03,"Central Shenandoah",70-79,131,40,12
2020-07-03,Chesapeake,30-39,175,9,0
2020-07-03,Chickahominy,0-9,14,0,0
2020-07-03,"Prince William",0-9,339,9,0
2020-07-03,"Eastern Shore",50-59,275,19,5
2020-07-03,"Mount Rogers",50-59,98,6,1
2020-07-03,Loudoun,10-19,501,0,0
2020-07-03,Southside,80+,80,12,13
2020-07-03,"Central Virginia",80+,18,2,0
2020-07-03,Rappahannock,Missing,19,0,0
2020-07-03,"Rappahannock Rapidan",30-39,306,16,1
2020-07-03,"New River",50-59,31,4,0
2020-07-03,Richmond,80+,36,19,9
2020-07-03,"Mount Rogers",20-29,114,0,0
2020-07-03,"Eastern Shore",20-29,197,6,0
2020-07-03,Hampton,10-19,17,0,0
2020-07-03,Portsmouth,0-9,21,1,0
2020-07-03,Crater,70-79,135,32,14
2020-07-03,Chesterfield,40-49,565,19,2
2020-07-03,Alexandria,Missing,12,0,0
2020-07-03,Southside,30-39,53,1,0
2020-07-03,"Prince William",Missing,136,2,0
2020-07-03,Hampton,60-69,43,11,2
2020-07-03,Fairfax,20-29,2196,71,3
2020-07-03,"Thomas Jefferson",0-9,43,1,0
2020-07-03,Lenowisco,40-49,7,2,0
2020-07-03,"Central Virginia",10-19,59,1,0
2020-07-03,Lenowisco,70-79,5,4,1
2020-07-03,Chickahominy,40-49,91,12,1
2020-07-03,"Three Rivers",80+,32,5,3
2020-07-03,Rappahannock,30-39,482,21,0
2020-07-03,"Lord Fairfax",60-69,226,47,13
2020-07-03,"Western Tidewater",0-9,10,0,0
2020-07-03,Rappahannock,70-79,102,30,14
2020-07-03,"Prince William",80+,234,77,69
2020-07-03,Hampton,80+,7,3,2
2020-07-03,Alexandria,80+,90,28,25
2020-07-03,"Mount Rogers",60-69,90,8,0
2020-07-03,"Eastern Shore",60-69,179,29,8
2020-07-03,"Lord Fairfax",70-79,132,39,16
2020-07-03,"New River",30-39,29,1,0
2020-07-03,Chesapeake,10-19,48,1,0
2020-07-03,Hampton,40-49,52,5,0
2020-07-03,Peninsula,Missing,7,0,0
2020-07-03,Henrico,70-79,206,45,38
2020-07-03,"Western Tidewater",20-29,87,3,0
2020-07-03,Peninsula,0-9,36,0,0
2020-07-03,Loudoun,40-49,792,47,1
2020-07-03,Pittsylvania-Danville,30-39,29,1,0
2020-07-03,Loudoun,20-29,663,6,0
2020-07-03,Crater,60-69,223,45,12
2020-07-03,Loudoun,80+,188,50,67
2020-07-03,Arlington,80+,203,84,69
2020-07-03,"Virginia Beach",10-19,65,0,0
2020-07-03,"Mount Rogers",80+,74,25,20
2020-07-03,"Eastern Shore",80+,50,22,18
2020-07-03,Crater,10-19,52,0,0
2020-07-03,Lenowisco,30-39,5,1,1
2020-07-03,Norfolk,Missing,8,1,0
2020-07-03,Henrico,Missing,30,1,1
2020-07-03,"New River",40-49,36,1,0
2020-07-03,"Central Virginia",0-9,7,0,0
2020-07-03,"New River",70-79,18,8,4
2020-07-03,Loudoun,0-9,151,3,0
2020-07-03,"Central Virginia",70-79,22,4,2
2020-07-03,Southside,0-9,5,0,0
2020-07-03,"Three Rivers",40-49,134,11,2
2020-07-03,Chickahominy,30-39,90,2,0
2020-07-03,"Central Shenandoah",60-69,263,47,10
2020-07-03,"Western Tidewater",60-69,132,16,6
2020-07-03,"Cumberland Plateau",30-39,10,0,0
2020-07-03,Portsmouth,10-19,21,0,0
2020-07-03,Chesterfield,Missing,71,0,0
2020-07-03,Alexandria,40-49,432,36,0
2020-07-03,"Thomas Jefferson",70-79,62,21,4
2020-07-03,"Three Rivers",30-39,140,3,0
2020-07-03,"Western Tidewater",70-79,87,21,18
2020-07-03,Arlington,60-69,281,79,19
2020-07-03,"Cumberland Plateau",10-19,19,0,0
2020-07-03,"West Piedmont",30-39,76,1,0
2020-07-03,Peninsula,10-19,53,1,0
