"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-05-28,Chesterfield,"Central Region",0,0
2020-05-28,Chickahominy,"Central Region",0,0
2020-05-28,Crater,"Central Region",0,0
2020-05-28,Henrico,"Central Region",0,0
2020-05-28,Piedmont,"Central Region",0,0
2020-05-28,Richmond,"Central Region",0,0
2020-05-28,Southside,"Central Region",0,0
2020-05-28,Chesapeake,"Eastern Region",0,0
2020-05-28,"Eastern Shore","Eastern Region",0,0
2020-05-28,Hampton,"Eastern Region",0,0
2020-05-28,Norfolk,"Eastern Region",0,0
2020-05-28,Peninsula,"Eastern Region",0,0
2020-05-28,Portsmouth,"Eastern Region",0,0
2020-05-28,"Three Rivers","Eastern Region",0,0
2020-05-28,"Virginia Beach","Eastern Region",0,0
2020-05-28,"Western Tidewater","Eastern Region",0,0
2020-05-28,Alexandria,"Northern Region",0,0
2020-05-28,Arlington,"Northern Region",0,0
2020-05-28,Loudoun,"Northern Region",0,0
2020-05-28,"Prince William","Northern Region",0,0
2020-05-28,"Central Shenandoah","Northwest Region",0,0
2020-05-28,"Lord Fairfax","Northwest Region",0,0
2020-05-28,Rappahannock,"Northwest Region",0,0
2020-05-28,"Rappahannock Rapidan","Northwest Region",0,0
2020-05-28,"Thomas Jefferson","Northwest Region",0,0
2020-05-28,Alleghany,"Southwest Region",0,0
2020-05-28,"Central Virginia","Southwest Region",0,0
2020-05-28,"Cumberland Plateau","Southwest Region",0,0
2020-05-28,Lenowisco,"Southwest Region",0,0
2020-05-28,"Mount Rogers","Southwest Region",0,0
2020-05-28,"New River","Southwest Region",0,0
2020-05-28,Pittsylvania-Danville,"Southwest Region",0,0
2020-05-28,Roanoke,"Southwest Region",0,0
2020-05-28,"West Piedmont","Southwest Region",0,0
2020-05-28,Fairfax,"Northern Region",2,0
