"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
04/27/2020,"Central Shenandoah",Male,274,22,7
04/27/2020,"Central Shenandoah","Not Reported",7,0,0
04/27/2020,"Central Virginia",Female,49,3,0
04/27/2020,"Central Virginia",Male,64,4,1
04/27/2020,Chesapeake,Female,122,23,3
04/27/2020,Chesapeake,Male,92,22,3
04/27/2020,Chesterfield,Female,286,15,8
04/27/2020,Chesterfield,Male,220,24,13
04/27/2020,Chesterfield,"Not Reported",7,0,0
04/27/2020,Chickahominy,Female,140,21,4
04/27/2020,Chickahominy,Male,69,21,8
04/27/2020,Chickahominy,"Not Reported",4,1,0
04/27/2020,Crater,Female,106,29,9
04/27/2020,Crater,Male,80,19,3
04/27/2020,Crater,"Not Reported",4,3,0
04/27/2020,"Cumberland Plateau",Female,13,1,0
04/27/2020,"Cumberland Plateau",Male,9,0,0
04/27/2020,"Eastern Shore",Female,104,10,2
04/27/2020,"Eastern Shore",Male,117,10,1
04/27/2020,"Eastern Shore","Not Reported",2,0,0
04/27/2020,Fairfax,Female,1478,217,53
04/27/2020,Fairfax,Male,1556,309,50
04/27/2020,Fairfax,"Not Reported",21,3,1
04/27/2020,Hampton,Female,61,11,0
04/27/2020,Hampton,Male,46,17,1
04/27/2020,Hampton,"Not Reported",1,0,0
04/27/2020,Henrico,Female,489,52,47
04/27/2020,Henrico,Male,322,64,41
04/27/2020,Henrico,"Not Reported",6,0,1
04/27/2020,Lenowisco,Female,18,6,1
04/27/2020,Lenowisco,Male,19,7,1
04/27/2020,"Lord Fairfax",Female,192,15,1
04/27/2020,"Lord Fairfax",Male,150,20,1
04/27/2020,"Lord Fairfax","Not Reported",2,0,0
04/27/2020,Loudoun,Female,331,25,6
04/27/2020,Loudoun,Male,295,53,6
04/27/2020,Loudoun,"Not Reported",2,0,0
04/27/2020,"Mount Rogers",Female,30,5,0
04/27/2020,"Mount Rogers",Male,35,10,4
04/27/2020,"Mount Rogers","Not Reported",1,0,0
04/27/2020,"New River",Female,36,3,0
04/27/2020,"New River",Male,34,5,1
04/27/2020,"New River","Not Reported",1,0,0
04/27/2020,Norfolk,Female,93,18,0
04/27/2020,Norfolk,Male,91,18,3
04/27/2020,Peninsula,Female,173,44,13
04/27/2020,Peninsula,Male,158,54,8
04/27/2020,Piedmont,Female,74,6,1
04/27/2020,Piedmont,Male,59,11,2
04/27/2020,Pittsylvania-Danville,Female,25,9,1
04/27/2020,Pittsylvania-Danville,Male,19,9,1
04/27/2020,Portsmouth,Female,66,15,2
04/27/2020,Portsmouth,Male,47,17,3
04/27/2020,Portsmouth,"Not Reported",1,0,0
04/27/2020,"Prince William",Female,771,86,9
04/27/2020,"Prince William",Male,784,85,14
04/27/2020,"Prince William","Not Reported",13,0,0
04/27/2020,Rappahannock,Female,212,36,2
04/27/2020,Rappahannock,Male,195,51,7
04/27/2020,Rappahannock,"Not Reported",3,0,0
04/27/2020,"Rappahannock Rapidan",Female,121,8,1
04/27/2020,"Rappahannock Rapidan",Male,123,14,3
04/27/2020,"Rappahannock Rapidan","Not Reported",6,0,0
04/27/2020,Richmond,Female,153,23,1
04/27/2020,Richmond,Male,148,35,11
04/27/2020,Richmond,"Not Reported",3,1,2
04/27/2020,Roanoke,Female,15,2,0
04/27/2020,Roanoke,Male,18,3,0
04/27/2020,Southside,Female,87,9,5
04/27/2020,Southside,Male,42,14,4
04/27/2020,"Thomas Jefferson",Female,141,32,3
04/27/2020,"Thomas Jefferson",Male,116,25,8
04/27/2020,"Thomas Jefferson","Not Reported",1,0,0
04/27/2020,"Three Rivers",Female,53,6,1
04/27/2020,"Three Rivers",Male,151,8,0
04/27/2020,"Virginia Beach",Female,193,31,4
04/27/2020,"Virginia Beach",Male,162,41,6
04/27/2020,"West Piedmont",Female,19,1,0
04/27/2020,"West Piedmont",Male,17,4,1
04/27/2020,"Western Tidewater",Female,166,16,5
04/27/2020,"Western Tidewater",Male,203,27,3
04/27/2020,"Western Tidewater","Not Reported",2,0,0
04/28/2020,Alexandria,Female,339,37,9
04/28/2020,Alexandria,Male,310,45,11
04/28/2020,Alexandria,"Not Reported",4,0,0
04/28/2020,Alleghany,Female,51,6,2
04/28/2020,Alleghany,Male,37,9,1
04/28/2020,Arlington,Female,428,70,12
04/28/2020,Arlington,Male,429,87,20
04/28/2020,Arlington,"Not Reported",8,0,0
04/28/2020,"Central Shenandoah",Female,382,20,4
04/28/2020,"Central Shenandoah",Male,309,22,7
04/28/2020,"Central Shenandoah","Not Reported",7,0,0
04/28/2020,"Central Virginia",Female,49,3,0
04/28/2020,"Central Virginia",Male,64,4,1
04/28/2020,Chesapeake,Female,127,27,3
04/28/2020,Chesapeake,Male,93,23,3
04/28/2020,Chesterfield,Female,306,15,9
04/28/2020,Chesterfield,Male,233,25,14
04/28/2020,Chesterfield,"Not Reported",7,0,0
04/28/2020,Chickahominy,Female,141,24,6
04/28/2020,Chickahominy,Male,72,21,8
04/28/2020,Chickahominy,"Not Reported",4,1,0
04/28/2020,Crater,Female,106,29,9
04/28/2020,Crater,Male,80,19,3
04/28/2020,Crater,"Not Reported",4,3,0
04/28/2020,"Cumberland Plateau",Female,13,1,0
04/28/2020,"Cumberland Plateau",Male,11,0,0
04/28/2020,"Eastern Shore",Female,124,11,3
04/28/2020,"Eastern Shore",Male,131,10,1
04/28/2020,"Eastern Shore","Not Reported",3,0,0
04/28/2020,Fairfax,Female,1628,234,59
04/28/2020,Fairfax,Male,1678,325,58
04/28/2020,Fairfax,"Not Reported",25,3,1
04/28/2020,Hampton,Female,61,11,0
04/28/2020,Hampton,Male,46,17,1
04/28/2020,Hampton,"Not Reported",1,0,0
04/28/2020,Henrico,Female,500,55,50
04/28/2020,Henrico,Male,329,65,44
04/28/2020,Henrico,"Not Reported",6,0,1
04/28/2020,Lenowisco,Female,19,6,1
04/28/2020,Lenowisco,Male,21,7,1
04/28/2020,"Lord Fairfax",Female,199,16,1
04/28/2020,"Lord Fairfax",Male,155,20,2
04/28/2020,"Lord Fairfax","Not Reported",1,0,0
04/28/2020,Loudoun,Female,366,30,6
04/28/2020,Loudoun,Male,320,54,6
04/28/2020,Loudoun,"Not Reported",2,0,0
04/28/2020,"Mount Rogers",Female,31,5,0
04/28/2020,"Mount Rogers",Male,36,10,4
04/28/2020,"Mount Rogers","Not Reported",1,0,0
04/28/2020,"New River",Female,36,3,0
04/28/2020,"New River",Male,34,5,1
04/28/2020,"New River","Not Reported",1,0,0
04/28/2020,Norfolk,Female,98,20,0
04/28/2020,Norfolk,Male,90,18,3
04/28/2020,Peninsula,Female,176,44,13
04/28/2020,Peninsula,Male,160,54,8
04/28/2020,Piedmont,Female,75,6,1
04/28/2020,Piedmont,Male,69,12,2
04/28/2020,Pittsylvania-Danville,Female,25,9,1
04/28/2020,Pittsylvania-Danville,Male,19,9,1
04/28/2020,Portsmouth,Female,68,15,2
04/28/2020,Portsmouth,Male,80,17,3
04/28/2020,Portsmouth,"Not Reported",1,0,0
04/28/2020,"Prince William",Female,827,93,10
04/28/2020,"Prince William",Male,837,90,13
04/28/2020,"Prince William","Not Reported",13,0,0
04/28/2020,Rappahannock,Female,220,36,2
04/28/2020,Rappahannock,Male,203,52,7
04/28/2020,Rappahannock,"Not Reported",3,0,0
04/28/2020,"Rappahannock Rapidan",Female,133,9,1
04/28/2020,"Rappahannock Rapidan",Male,135,15,3
04/28/2020,"Rappahannock Rapidan","Not Reported",7,0,0
04/28/2020,Richmond,Female,158,24,1
04/28/2020,Richmond,Male,151,35,11
04/28/2020,Richmond,"Not Reported",3,1,2
04/28/2020,Roanoke,Female,16,2,0
04/28/2020,Roanoke,Male,19,3,0
04/28/2020,Southside,Female,86,9,5
04/28/2020,Southside,Male,44,14,4
04/28/2020,"Thomas Jefferson",Female,144,32,4
04/28/2020,"Thomas Jefferson",Male,116,27,8
04/28/2020,"Thomas Jefferson","Not Reported",1,0,0
04/28/2020,"Three Rivers",Female,56,7,1
04/28/2020,"Three Rivers",Male,158,8,0
04/28/2020,"Virginia Beach",Female,195,33,5
04/28/2020,"Virginia Beach",Male,164,43,7
04/28/2020,"West Piedmont",Female,21,1,0
04/28/2020,"West Piedmont",Male,18,4,1
04/28/2020,"West Piedmont","Not Reported",1,0,0
04/28/2020,"Western Tidewater",Female,174,17,6
04/28/2020,"Western Tidewater",Male,205,28,5
04/28/2020,"Western Tidewater","Not Reported",2,0,0
04/29/2020,Alexandria,Female,366,40,9
04/29/2020,Alexandria,Male,331,52,12
04/29/2020,Alexandria,"Not Reported",3,0,0
04/29/2020,Alleghany,Female,57,6,2
04/29/2020,Alleghany,Male,42,10,1
04/29/2020,Arlington,Female,450,74,12
04/29/2020,Arlington,Male,454,89,20
04/29/2020,Arlington,"Not Reported",8,0,0
04/29/2020,"Central Shenandoah",Female,388,21,5
04/29/2020,"Central Shenandoah",Male,314,22,8
04/29/2020,"Central Shenandoah","Not Reported",8,0,0
04/29/2020,"Central Virginia",Female,52,3,0
04/29/2020,"Central Virginia",Male,68,4,1
04/29/2020,Chesapeake,Female,132,31,3
04/29/2020,Chesapeake,Male,100,25,3
04/29/2020,Chesterfield,Female,311,15,9
04/29/2020,Chesterfield,Male,244,27,14
04/29/2020,Chesterfield,"Not Reported",7,0,0
04/29/2020,Chickahominy,Female,141,26,7
04/29/2020,Chickahominy,Male,78,22,8
04/29/2020,Chickahominy,"Not Reported",4,1,0
04/29/2020,Crater,Female,111,31,9
04/29/2020,Crater,Male,82,19,3
04/29/2020,Crater,"Not Reported",4,3,0
04/29/2020,"Cumberland Plateau",Female,13,1,0
04/29/2020,"Cumberland Plateau",Male,12,0,0
04/29/2020,"Eastern Shore",Female,127,11,3
04/29/2020,"Eastern Shore",Male,134,10,1
04/29/2020,"Eastern Shore","Not Reported",4,0,0
04/29/2020,Fairfax,Female,1703,247,66
04/29/2020,Fairfax,Male,1771,342,61
04/29/2020,Fairfax,"Not Reported",27,3,1
04/29/2020,Hampton,Female,62,11,0
04/29/2020,Hampton,Male,46,17,1
04/29/2020,Hampton,"Not Reported",1,0,0
04/29/2020,Henrico,Female,510,56,51
04/29/2020,Henrico,Male,330,66,46
04/29/2020,Henrico,"Not Reported",6,0,1
04/29/2020,Lenowisco,Female,19,6,1
04/29/2020,Lenowisco,Male,21,8,1
04/29/2020,"Lord Fairfax",Female,215,17,2
04/29/2020,"Lord Fairfax",Male,166,20,2
04/29/2020,"Lord Fairfax","Not Reported",1,0,0
04/29/2020,Loudoun,Female,389,32,7
04/29/2020,Loudoun,Male,336,55,7
04/29/2020,Loudoun,"Not Reported",2,0,0
04/29/2020,"Mount Rogers",Female,36,6,0
04/29/2020,"Mount Rogers",Male,38,10,4
04/29/2020,"Mount Rogers","Not Reported",1,0,0
04/29/2020,"New River",Female,38,3,0
04/29/2020,"New River",Male,34,5,1
04/29/2020,"New River","Not Reported",1,0,0
04/29/2020,Norfolk,Female,101,21,0
04/29/2020,Norfolk,Male,91,18,3
04/29/2020,Peninsula,Female,178,44,13
04/29/2020,Peninsula,Male,160,54,8
04/29/2020,Piedmont,Female,79,6,1
04/29/2020,Piedmont,Male,71,13,2
04/29/2020,Pittsylvania-Danville,Female,27,10,1
04/29/2020,Pittsylvania-Danville,Male,19,9,1
04/29/2020,Portsmouth,Female,68,16,2
04/29/2020,Portsmouth,Male,81,17,3
04/29/2020,Portsmouth,"Not Reported",1,0,0
04/29/2020,"Prince William",Female,877,95,12
04/29/2020,"Prince William",Male,893,100,14
04/29/2020,"Prince William","Not Reported",13,0,0
04/29/2020,Rappahannock,Female,226,37,2
04/29/2020,Rappahannock,Male,210,54,7
04/29/2020,Rappahannock,"Not Reported",3,0,0
04/29/2020,"Rappahannock Rapidan",Female,138,10,1
04/29/2020,"Rappahannock Rapidan",Male,137,15,4
04/29/2020,"Rappahannock Rapidan","Not Reported",7,0,0
04/29/2020,Richmond,Female,161,25,1
04/29/2020,Richmond,Male,159,36,11
04/29/2020,Richmond,"Not Reported",3,1,2
04/29/2020,Roanoke,Female,36,2,0
04/29/2020,Roanoke,Male,21,3,0
04/29/2020,Southside,Female,87,9,5
04/29/2020,Southside,Male,44,15,5
04/29/2020,"Thomas Jefferson",Female,144,32,4
04/29/2020,"Thomas Jefferson",Male,119,27,8
04/29/2020,"Thomas Jefferson","Not Reported",1,0,0
04/29/2020,"Three Rivers",Female,58,7,1
04/29/2020,"Three Rivers",Male,160,9,1
04/29/2020,"Virginia Beach",Female,199,33,5
04/29/2020,"Virginia Beach",Male,166,43,7
04/29/2020,"West Piedmont",Female,23,1,0
04/29/2020,"West Piedmont",Male,18,4,1
04/29/2020,"Western Tidewater",Female,176,17,9
04/29/2020,"Western Tidewater",Male,206,29,6
04/29/2020,"Western Tidewater","Not Reported",2,0,0
04/30/2020,Alexandria,Female,390,43,9
04/30/2020,Alexandria,Male,361,54,12
04/30/2020,Alexandria,"Not Reported",3,0,0
04/30/2020,Alleghany,Female,69,6,2
04/30/2020,Alleghany,Male,45,10,1
04/30/2020,Arlington,Female,481,77,17
04/30/2020,Arlington,Male,478,90,24
04/30/2020,Arlington,"Not Reported",8,0,0
04/30/2020,"Central Shenandoah",Female,405,21,5
04/30/2020,"Central Shenandoah",Male,335,23,8
04/30/2020,"Central Shenandoah","Not Reported",9,0,0
04/30/2020,"Central Virginia",Female,57,3,0
04/30/2020,"Central Virginia",Male,70,4,1
04/30/2020,Chesapeake,Female,137,32,3
04/30/2020,Chesapeake,Male,105,25,3
04/30/2020,Chesterfield,Female,328,17,10
04/30/2020,Chesterfield,Male,261,28,15
04/30/2020,Chesterfield,"Not Reported",9,0,0
04/30/2020,Chickahominy,Female,146,26,7
04/30/2020,Chickahominy,Male,80,22,8
04/30/2020,Chickahominy,"Not Reported",4,1,0
04/30/2020,Crater,Female,113,31,9
04/30/2020,Crater,Male,84,20,3
04/30/2020,Crater,"Not Reported",4,3,0
04/30/2020,"Cumberland Plateau",Female,13,1,0
04/30/2020,"Cumberland Plateau",Male,12,0,0
04/30/2020,"Eastern Shore",Female,162,11,3
04/30/2020,"Eastern Shore",Male,161,10,1
04/30/2020,"Eastern Shore","Not Reported",5,0,0
04/30/2020,Fairfax,Female,1774,256,70
04/30/2020,Fairfax,Male,1855,352,67
04/30/2020,Fairfax,"Not Reported",35,5,1
04/30/2020,Hampton,Female,64,11,0
04/30/2020,Hampton,Male,49,17,1
04/30/2020,Hampton,"Not Reported",2,0,0
04/30/2020,Henrico,Female,525,58,53
04/30/2020,Henrico,Male,345,68,46
04/30/2020,Henrico,"Not Reported",6,0,1
04/30/2020,Lenowisco,Female,19,6,1
04/30/2020,Lenowisco,Male,21,8,1
04/30/2020,"Lord Fairfax",Female,231,21,2
04/30/2020,"Lord Fairfax",Male,177,20,2
04/30/2020,"Lord Fairfax","Not Reported",2,0,0
04/30/2020,Loudoun,Female,400,33,7
04/30/2020,Loudoun,Male,344,57,8
04/30/2020,Loudoun,"Not Reported",2,0,0
04/30/2020,"Mount Rogers",Female,36,6,0
04/30/2020,"Mount Rogers",Male,41,10,4
04/30/2020,"Mount Rogers","Not Reported",1,0,0
04/30/2020,"New River",Female,39,3,0
04/30/2020,"New River",Male,34,5,1
04/30/2020,"New River","Not Reported",1,0,0
04/30/2020,Norfolk,Female,102,21,0
04/30/2020,Norfolk,Male,96,19,3
04/30/2020,Peninsula,Female,181,44,13
04/30/2020,Peninsula,Male,165,54,8
04/30/2020,Piedmont,Female,82,6,1
04/30/2020,Piedmont,Male,76,15,2
04/30/2020,Pittsylvania-Danville,Female,28,10,1
04/30/2020,Pittsylvania-Danville,Male,20,9,1
04/30/2020,Portsmouth,Female,72,16,2
04/30/2020,Portsmouth,Male,85,17,3
04/30/2020,Portsmouth,"Not Reported",1,0,0
04/30/2020,"Prince William",Female,953,100,12
04/30/2020,"Prince William",Male,956,105,15
04/30/2020,"Prince William","Not Reported",13,0,0
04/30/2020,Rappahannock,Female,243,37,2
04/30/2020,Rappahannock,Male,230,54,8
04/30/2020,Rappahannock,"Not Reported",2,0,0
04/30/2020,"Rappahannock Rapidan",Female,150,10,1
04/30/2020,"Rappahannock Rapidan",Male,145,15,4
04/30/2020,"Rappahannock Rapidan","Not Reported",7,0,0
04/30/2020,Richmond,Female,169,26,2
04/30/2020,Richmond,Male,166,36,11
04/30/2020,Richmond,"Not Reported",4,1,2
04/30/2020,Roanoke,Female,47,2,0
04/30/2020,Roanoke,Male,26,3,0
04/30/2020,Southside,Female,88,9,5
04/30/2020,Southside,Male,44,15,5
04/30/2020,"Thomas Jefferson",Female,165,32,5
04/30/2020,"Thomas Jefferson",Male,127,27,8
04/30/2020,"Thomas Jefferson","Not Reported",1,0,0
04/30/2020,"Three Rivers",Female,63,7,1
04/30/2020,"Three Rivers",Male,162,9,1
04/30/2020,"Virginia Beach",Female,212,33,5
04/30/2020,"Virginia Beach",Male,173,44,9
04/30/2020,"West Piedmont",Female,23,2,0
04/30/2020,"West Piedmont",Male,18,4,1
04/30/2020,"Western Tidewater",Female,189,17,9
04/30/2020,"Western Tidewater",Male,222,29,6
04/30/2020,"Western Tidewater","Not Reported",2,0,0
05/01/2020,Alexandria,Female,415,47,12
05/01/2020,Alexandria,Male,384,57,12
05/01/2020,Alexandria,"Not Reported",3,0,0
05/01/2020,Alleghany,Female,71,6,2
05/01/2020,Alleghany,Male,45,10,1
05/01/2020,Alleghany,"Not Reported",0,0,0
05/01/2020,Arlington,Female,500,79,17
05/01/2020,Arlington,Male,496,90,25
05/01/2020,Arlington,"Not Reported",8,0,0
05/01/2020,"Central Shenandoah",Female,425,21,5
05/01/2020,"Central Shenandoah",Male,360,23,8
05/01/2020,"Central Shenandoah","Not Reported",8,0,0
05/01/2020,"Central Virginia",Female,64,3,0
05/01/2020,"Central Virginia",Male,72,4,1
05/01/2020,"Central Virginia","Not Reported",0,0,0
05/01/2020,Chesapeake,Female,147,33,3
05/01/2020,Chesapeake,Male,109,27,4
05/01/2020,Chesapeake,"Not Reported",0,0,0
05/01/2020,Chesterfield,Female,342,21,13
05/01/2020,Chesterfield,Male,274,31,16
05/01/2020,Chesterfield,"Not Reported",9,0,0
05/01/2020,Chickahominy,Female,157,27,9
05/01/2020,Chickahominy,Male,84,23,9
05/01/2020,Chickahominy,"Not Reported",5,1,0
05/01/2020,Crater,Female,115,32,9
05/01/2020,Crater,Male,86,20,3
05/01/2020,Crater,"Not Reported",4,3,0
05/01/2020,"Cumberland Plateau",Female,14,1,0
05/01/2020,"Cumberland Plateau",Male,12,0,0
05/01/2020,"Cumberland Plateau","Not Reported",0,0,0
05/01/2020,"Eastern Shore",Female,191,12,4
05/01/2020,"Eastern Shore",Male,189,10,1
05/01/2020,"Eastern Shore","Not Reported",5,0,0
05/01/2020,Fairfax,Female,1929,275,72
05/01/2020,Fairfax,Male,1986,370,68
05/01/2020,Fairfax,"Not Reported",37,5,1
05/01/2020,Hampton,Female,66,11,0
05/01/2020,Hampton,Male,51,17,1
05/01/2020,Hampton,"Not Reported",2,0,0
05/01/2020,Henrico,Female,540,60,54
05/01/2020,Henrico,Male,355,69,47
05/01/2020,Henrico,"Not Reported",3,0,1
05/01/2020,Lenowisco,Female,19,6,1
05/01/2020,Lenowisco,Male,22,8,1
05/01/2020,Lenowisco,"Not Reported",0,0,0
05/01/2020,"Lord Fairfax",Female,251,21,2
05/01/2020,"Lord Fairfax",Male,193,21,2
05/01/2020,"Lord Fairfax","Not Reported",2,0,0
05/01/2020,Loudoun,Female,437,35,7
05/01/2020,Loudoun,Male,393,58,8
05/01/2020,Loudoun,"Not Reported",2,0,0
05/01/2020,"Mount Rogers",Female,41,6,0
05/01/2020,"Mount Rogers",Male,44,10,4
05/01/2020,"Mount Rogers","Not Reported",1,0,0
05/01/2020,"New River",Female,39,3,0
05/01/2020,"New River",Male,35,7,1
05/01/2020,"New River","Not Reported",1,0,0
05/01/2020,Norfolk,Female,105,22,0
05/01/2020,Norfolk,Male,99,20,3
05/01/2020,Norfolk,"Not Reported",0,0,0
05/01/2020,Peninsula,Female,183,44,15
05/01/2020,Peninsula,Male,169,54,8
05/01/2020,Peninsula,"Not Reported",0,0,0
05/01/2020,Piedmont,Female,86,6,1
05/01/2020,Piedmont,Male,113,15,2
05/01/2020,Piedmont,"Not Reported",0,0,0
05/01/2020,Pittsylvania-Danville,Female,28,10,1
05/01/2020,Pittsylvania-Danville,Male,20,9,1
05/01/2020,Pittsylvania-Danville,"Not Reported",0,0,0
05/01/2020,Portsmouth,Female,74,16,3
05/01/2020,Portsmouth,Male,95,17,4
05/01/2020,Portsmouth,"Not Reported",1,0,0
05/01/2020,"Prince William",Female,1034,104,15
05/01/2020,"Prince William",Male,1022,108,16
05/01/2020,"Prince William","Not Reported",15,0,0
05/01/2020,Rappahannock,Female,257,37,2
05/01/2020,Rappahannock,Male,247,54,9
05/01/2020,Rappahannock,"Not Reported",2,0,0
05/01/2020,"Rappahannock Rapidan",Female,168,11,1
05/01/2020,"Rappahannock Rapidan",Male,169,15,4
05/01/2020,"Rappahannock Rapidan","Not Reported",8,0,0
05/01/2020,Richmond,Female,182,27,2
05/01/2020,Richmond,Male,178,38,11
05/01/2020,Richmond,"Not Reported",4,1,2
05/01/2020,Roanoke,Female,49,2,0
05/01/2020,Roanoke,Male,29,3,0
05/01/2020,Roanoke,"Not Reported",2,0,0
05/01/2020,Southside,Female,91,9,5
05/01/2020,Southside,Male,44,15,5
05/01/2020,Southside,"Not Reported",0,0,0
05/01/2020,"Thomas Jefferson",Female,169,33,5
05/01/2020,"Thomas Jefferson",Male,128,27,8
05/01/2020,"Thomas Jefferson","Not Reported",1,0,0
05/01/2020,"Three Rivers",Female,63,12,1
05/01/2020,"Three Rivers",Male,164,10,1
05/01/2020,"Three Rivers","Not Reported",0,0,0
05/01/2020,"Virginia Beach",Female,217,35,5
05/01/2020,"Virginia Beach",Male,179,46,9
05/01/2020,"Virginia Beach","Not Reported",0,0,0
05/01/2020,"West Piedmont",Female,23,2,0
05/01/2020,"West Piedmont",Male,18,4,1
05/01/2020,"West Piedmont","Not Reported",0,0,0
05/01/2020,"Western Tidewater",Female,194,17,10
05/01/2020,"Western Tidewater",Male,226,30,7
05/01/2020,"Western Tidewater","Not Reported",2,0,0
05/02/2020,Alexandria,Female,435,49,12
05/02/2020,Alexandria,Male,411,59,14
05/02/2020,Alexandria,"Not Reported",2,0,0
05/02/2020,Alleghany,Female,72,6,2
05/02/2020,Alleghany,Male,45,10,1
05/02/2020,Alleghany,"Not Reported",0,0,0
05/02/2020,Arlington,Female,520,85,18
05/02/2020,Arlington,Male,515,106,28
05/02/2020,Arlington,"Not Reported",9,0,0
05/02/2020,"Central Shenandoah",Female,440,22,7
05/02/2020,"Central Shenandoah",Male,373,24,10
05/02/2020,"Central Shenandoah","Not Reported",8,0,0
05/02/2020,"Central Virginia",Female,64,3,0
05/02/2020,"Central Virginia",Male,78,5,1
05/02/2020,"Central Virginia","Not Reported",0,0,0
05/02/2020,Chesapeake,Female,152,34,3
05/02/2020,Chesapeake,Male,111,27,4
05/02/2020,Chesapeake,"Not Reported",0,0,0
05/02/2020,Chesterfield,Female,366,21,13
05/02/2020,Chesterfield,Male,290,32,16
05/02/2020,Chesterfield,"Not Reported",8,0,0
05/02/2020,Chickahominy,Female,160,27,8
05/02/2020,Chickahominy,Male,82,23,9
05/02/2020,Chickahominy,"Not Reported",5,1,0
05/02/2020,Crater,Female,119,34,9
05/02/2020,Crater,Male,91,20,3
05/02/2020,Crater,"Not Reported",2,2,0
05/02/2020,"Cumberland Plateau",Female,14,1,0
05/02/2020,"Cumberland Plateau",Male,13,1,0
05/02/2020,"Cumberland Plateau","Not Reported",0,0,0
05/02/2020,"Eastern Shore",Female,226,12,4
05/02/2020,"Eastern Shore",Male,216,10,1
05/02/2020,"Eastern Shore","Not Reported",5,0,0
05/02/2020,Fairfax,Female,1990,299,81
05/02/2020,Fairfax,Male,2074,389,75
05/02/2020,Fairfax,"Not Reported",37,5,1
05/02/2020,Hampton,Female,68,11,0
05/02/2020,Hampton,Male,53,17,1
05/02/2020,Hampton,"Not Reported",1,0,0
05/02/2020,Henrico,Female,552,63,54
05/02/2020,Henrico,Male,371,72,49
05/02/2020,Henrico,"Not Reported",3,0,1
05/02/2020,Lenowisco,Female,19,6,1
05/02/2020,Lenowisco,Male,22,8,1
05/02/2020,Lenowisco,"Not Reported",0,0,0
05/02/2020,"Lord Fairfax",Female,268,21,2
05/02/2020,"Lord Fairfax",Male,204,21,3
05/02/2020,"Lord Fairfax","Not Reported",1,0,0
05/02/2020,Loudoun,Female,454,36,8
05/02/2020,Loudoun,Male,426,59,8
05/02/2020,Loudoun,"Not Reported",1,0,0
05/02/2020,"Mount Rogers",Female,43,6,0
05/02/2020,"Mount Rogers",Male,45,10,4
05/02/2020,"Mount Rogers","Not Reported",1,0,0
05/02/2020,"New River",Female,39,3,0
05/02/2020,"New River",Male,35,7,1
05/02/2020,"New River","Not Reported",1,0,0
05/02/2020,Norfolk,Female,108,22,0
05/02/2020,Norfolk,Male,103,20,3
05/02/2020,Norfolk,"Not Reported",0,0,0
05/02/2020,Peninsula,Female,185,44,16
05/02/2020,Peninsula,Male,171,55,9
05/02/2020,Peninsula,"Not Reported",1,0,0
05/02/2020,Piedmont,Female,86,8,1
05/02/2020,Piedmont,Male,160,15,2
05/02/2020,Piedmont,"Not Reported",0,0,0
05/02/2020,Pittsylvania-Danville,Female,30,11,1
05/02/2020,Pittsylvania-Danville,Male,21,9,1
05/02/2020,Pittsylvania-Danville,"Not Reported",0,0,0
05/02/2020,Portsmouth,Female,77,17,4
05/02/2020,Portsmouth,Male,95,17,4
05/02/2020,Portsmouth,"Not Reported",1,0,0
05/02/2020,"Prince William",Female,1102,106,16
05/02/2020,"Prince William",Male,1095,113,16
05/02/2020,"Prince William","Not Reported",37,0,0
05/02/2020,Rappahannock,Female,273,37,2
05/02/2020,Rappahannock,Male,260,58,9
05/02/2020,Rappahannock,"Not Reported",2,0,0
